Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL				
(	NULL				
)	NULL				
1	NULL				
2	NULL				
M	NULL				
F	NULL				
a	a	kuyaʕko kaʕasay, takkaya	Gawwada	844	U+0061
o$	o	hammakko, ʕaɗunko	Gawwada	339	U+006f U+0024
e$	e	piye, ʔaspitte	Gawwada	323	U+0065 U+0024
i	i	sikaapa, miʔaye ʕasito	Gawwada	294	U+0069
o	o	kuyaʕko toʔokko toʔokko, koɗ	Gawwada	218	U+006f
t	t	lootote, hantu hantu	Gawwada	210	U+0074
k	k	sikaapa, sakanko	Gawwada	195	U+006b
^ʔ	ʔ	ʔašša, ʔakki	Gawwada	174	U+005e U+0294
^k	k	koɗ, kor	Gawwada	173	U+005e U+006b
u	u	kulunko, ʕaɗunko	Gawwada	173	U+0075
r	r	kaarko, harɠo	Gawwada	159	U+0072
aa	aː	sikaapa, kaarko	Gawwada	158	U+0061 U+0061
n	n	šiinanko, kinine	Gawwada	156	U+006e
a$	a	sikaapa, takkaya	Gawwada	147	U+0061 U+0024
kk	k k	takkaya, hammakko	Gawwada	127	U+006b U+006b
p	p	sikaapa, ʔaspitte	Gawwada	112	U+0070
tt	t t	kittatte, ʔaspitte	Gawwada	108	U+0074 U+0074
l	l	holas, kala	Gawwada	106	U+006c
^t	t	takkaya, taanko	Gawwada	99	U+005e U+0074
^h	h	hammakko, heet’a	Gawwada	98	U+005e U+0068
m	m	teeme, qurcumcimitte	Gawwada	96	U+006d
^p	p	piye, pokke	Gawwada	92	U+005e U+0070
^m	m	miʔaye, mahnaʔa	Gawwada	91	U+005e U+006d
e	e	miʔaye ʕasito, leʕʕo	Gawwada	82	U+0065
y	y	piye, takkaya	Gawwada	78	U+0079
oo	oː	ʔooy, ʔoošakko	Gawwada	77	U+006f U+006f
^s	s	sikaapa, sano	Gawwada	76	U+005e U+0073
_	_	miʔaye ʕasito, ʔille na=sooʕa	Gawwada	71	U+005f
ee	eː	šeek, heet’a	Gawwada	71	U+0065 U+0065
ʕ	ʕ	kuyaʕko kaʕasay, ɠuʕakko	Gawwada	67	U+0295
’	<?>	k’ork’orro, k’arat’t’o	Gawwada	66	U+2019
š	ʃ	ʕaško, hašitto	Gawwada	66	U+0161
s	s	ʔaspitte, miʔaye ʕasito	Gawwada	65	U+0073
i$	i	ʔakki, peerri	Gawwada	55	U+0069 U+0024
h	h	mahnaʔa, xaha	Gawwada	54	U+0068
ʔ	ʔ	miʔaye, mahnaʔa	Gawwada	48	U+0294
ɗ$	ɗ	koɗ, waaɗ	Gawwada	46	U+0257 U+0024
^š	ʃ	šeek, šullo	Gawwada	45	U+005e U+0161
^q	q	qawho, qaaš	Gawwada	44	U+005e U+0071
ll	l l	šullo, ʔille na=sooʕa	Gawwada	43	U+006c U+006c
ɗ	ɗ	ʕaɗunko, ɠaɗo	Gawwada	42	U+0257
^l	l	lukte, leʕʕo	Gawwada	36	U+005e U+006c
s$	s	holas, ɗinis	Gawwada	35	U+0073 U+0024
^ʕ	ʕ	ʕaško, ʕaɗunko	Gawwada	34	U+005e U+0295
q	q	ʔisqaye, xoqno	Gawwada	34	U+0071
w	w	kawkawe, ʔawšo	Gawwada	34	U+0077
^x	x	xaš, xaha	Gawwada	34	U+005e U+0078
^ɗ	ɗ	ɗinis, ɗamma	Gawwada	30	U+005e U+0257
f	f	haafakko, marfe	Gawwada	30	U+0066
