ID	Source_ID	Word_ID	Doculect	Glottocode	Concept	Concepticon_Gloss	Concepticon_ID	original_script	Value	Form
325	11-4-612-1	74271346244021	Old High German	oldh1241	to snore	SNORE	1983		gisnarchôn	gisnarchôn 
326	11-4-62-1	74271346569908355	Old High German	oldh1241	to dream	DREAM (SOMETHING)	1920		troumen	troumen 
327	11-4-63-1	74271347410388714	Old High German	oldh1241	to wake up	WAKE UP	1602		irwahhên	irwahhên 
328	11-4-64-1	74271349508230591	Old High German	oldh1241	to fart	FART	1159		ferzan	ferzan 
329	11-4-66-1	74271352748403921	Old High German	oldh1241	to shit	SHIT (DEFECATE)	676		biskîzan	biskîzan 
330	11-4-67-1	7427149359252077	Old High German	oldh1241	to have sex	HAVE SEX	1785		samantwist	samantwist 
331	11-4-68-1	74271411597044724	Old High German	oldh1241	to shiver	SHIVER	52		zittarôn	zittarôn 
332	11-4-69-1	74271412247711568	Old High German	oldh1241	to bathe	BATHE	138		badôn	badôn 
333	11-4-71-1	74271414313419884	Old High German	oldh1241	to beget	BEGET	1152		(gi)beran	(gi)beran 
334	11-4-72-1	74271416677731210	Old High German	oldh1241	to be born	BE BORN	1090		giboran werdan	giboran werdan 
335	11-4-73-1	74271418210359363	Old High German	oldh1241	pregnant	PREGNANT	1123		swangar	swangar 
336	11-4-732-1	74271419460811311	Old High German	oldh1241	to conceive	CONCEIVE	1087		intfâhan	intfâhan 
337	11-4-74-1	74271420548307409	Old High German	oldh1241	to be alive	BE ALIVE	1422		lebên (1)	lebên (1) 
338	11-4-75-1	74271420590235384	Old High German	oldh1241	to die	DIE	1494		sterban	sterban 
339	11-4-751-1	74271421838647838	Old High German	oldh1241	to drown	DROWN	1904		irtrinkan	irtrinkan 
340	11-4-76-1	74271422969702527	Old High German	oldh1241	to kill	KILL	1417		tôden	tôden 
341	11-4-77-1	74271423467287769	Old High German	oldh1241	the corpse	CORPSE	767		lîh(hamo)	lîh(hamo) 
342	11-4-78-1	74271424187371370	Old High German	oldh1241	to bury	BURY	1719		bigraban	bigraban 
343	11-4-79-1	74271425853749409	Old High German	oldh1241	the grave	GRAVE	1773		grab	grab 
344	11-4-81-1	74271426693175894	Old High German	oldh1241	strong	STRONG	785		starc	starc 
345	11-4-82-1	76121230532056910	Old High German	oldh1241	weak	WEAK	1601		weih	weih 
346	11-4-83-1	74271427869513822	Old High German	oldh1241	healthy	HEALTHY	1364		gisunt(i)	gisunt(i) 
347	11-4-84-1	7427142962623242	Old High German	oldh1241	sick/ill	SICK	1847		sioh	sioh 
348	11-4-841-1	74271430606389678	Old High German	oldh1241	the fever	FEVER	1534		rito	rito 
349	11-4-842-1	74271431312271841	Old High German	oldh1241	the goitre/goiter	GOITER	1957		kroph	kroph 
350	11-4-843-1	74271433590032792	Old High German	oldh1241	the cold	COMMON COLD (DISEASE)	102		dampfo	dampfo 
351	11-4-85-1	74271435209852262	Old High German	oldh1241	the wound or sore	WOUND	1109		wunta	wunta 
352	11-4-852-1	74271436200836210	Old High German	oldh1241	the bruise	BRUISE	1148		blâwî	blâwî 
353	11-4-853-1	74271445234321008	Old High German	oldh1241	the swelling	SWELLING	1903		giswulst	giswulst 
354	11-4-854-1	74271446352315107	Old High German	oldh1241	the itch	ITCH	148		jukkido	jukkido 
355	11-4-855-1	74271447371966981	Old High German	oldh1241	the blister	BLISTER	1584		blâsa	blâsa 
356	11-4-856-1	74271449732024733	Old High German	oldh1241	the boil	BOIL (OF SKIN)	793		bul(l)a	bul(l)a 
357	11-4-857-1	74271451809426872	Old High German	oldh1241	the pus	PUS	1808		eitar	eitar 
358	11-4-858-1	74271452100523142	Old High German	oldh1241	the scar	SCAR	497		narwa	narwa 
359	11-4-86-1	74271516729343626	Old High German	oldh1241	to cure	CURE	499		heilen	heilen 
360	11-4-87-1	74271517107955193	Old High German	oldh1241	the physician	PHYSICIAN	597		arzât	arzât 
361	11-4-88-1	74271545632373662	Old High German	oldh1241	the medicine	MEDICINE	1372		lâhhan	lâhhan 
362	11-4-89-1	74271547568182159	Old High German	oldh1241	the poison	POISON	655		lubbi	lubbi 
363	11-4-91-1	74271547405610292	Old High German	oldh1241	tired	TIRED	1757		muodi	muodi 
364	11-4-912-1	74271554422328097	Old High German	oldh1241	to rest	REST	168		ruowên	ruowên 
365	11-4-92-1	74271555108334348	Old High German	oldh1241	lazy	LAZY	1564		trâgi	trâgi 
366	11-4-93-1	74271556974128661	Old High German	oldh1241	bald	BALD	1125		kalo	kalo 
367	11-4-94-1	7427155735668494	Old High German	oldh1241	lame	LAME	320		lam	lam 
368	11-4-95-1	74271557606046032	Old High German	oldh1241	deaf	DEAF	996		toub	toub 
369	11-4-96-1	74271558978523367	Old High German	oldh1241	mute	MUTE	1666		stum	stum 
370	11-4-97-1	74271558302877057	Old High German	oldh1241	blind	BLIND	1653		blint	blint 
371	11-4-98-1	74271559963104480	Old High German	oldh1241	drunk	DRUNK	1463		trunkan	trunkan 
372	11-4-99-1	742716075700493	Old High German	oldh1241	naked	NAKED	590		nackot	nackot 
373	11-5-11-1	752815282825362	Old High German	oldh1241	to eat	EAT	1336		ezzan	ezzan 
374	11-5-12-1	752816467508439	Old High German	oldh1241	the food	FOOD	256		narunga	narunga 
375	11-5-121-1	752818979977924	Old High German	oldh1241	cooked	COOKED	269		gisotan	gisotan 
376	11-5-122-1	75282099351159	Old High German	oldh1241	raw	RAW	1959		(h)rô	(h)rô 
377	11-5-123-1	752820278632635	Old High German	oldh1241	ripe	RIPE	178		rîfi	rîfi 
378	11-5-124-1	752827473575907	Old High German	oldh1241	unripe	UNRIPE	1958		un(h)rîfi	un(h)rîfi 
379	11-5-125-1	752831658131894	Old High German	oldh1241	rotten	ROTTEN	1728		fûl	fûl 
380	11-5-13-1	752832470500822	Old High German	oldh1241	to drink	DRINK	1401		trinkan	trinkan 
381	11-5-14-1	752839467191649	Old High German	oldh1241	to be hungry	BE HUNGRY	1533		hungarên	hungarên 
382	11-5-141-1	752841272055722	Old High German	oldh1241	the famine	FAMINE	199		hungar	hungar 
383	11-5-15-1	752841907016181	Old High German	oldh1241	to be thirsty	THIRSTY	847		durstên	durstên 
384	11-5-16-1	752842177424462	Old High German	oldh1241	to suck	SUCK	1421		sûgan	sûgan 
385	11-5-18-1	752843619690899	Old High German	oldh1241	to chew	CHEW	321		kiuwan	kiuwan 
386	11-5-19-1	75291165214379	Old High German	oldh1241	to choke	CHOKE	129		wurgen	wurgen 
387	11-5-21-1	752912416325130	Old High German	oldh1241	to cook	COOK (SOMETHING)	1100		kohhôn	kohhôn 
388	11-5-22-1	752935513314693	Old High German	oldh1241	to boil	BOIL (OF LIQUID)	792		siodan	siodan 
389	11-5-23-1	752937704345394	Old High German	oldh1241	to roast or fry	ROAST OR FRY	2146		brâtan	brâtan 
390	11-5-24-1	752938963776321	Old High German	oldh1241	to bake	BAKE	183		bahhan	bahhan 
391	11-5-25-1	75293986637433	Old High German	oldh1241	the oven	OVEN	1143		ovan, ofan	ovan 
392	11-5-25-2	75293986637433	Old High German	oldh1241	the oven	OVEN	1143		ovan, ofan	ofan 
393	11-5-26-1	752940609442288	Old High German	oldh1241	the pot	POT	1462		tuphin	tuphin 
394	11-5-27-1	7529421962106	Old High German	oldh1241	the kettle	KETTLE	854		kezzil	kezzil 
395	11-5-28-1	752943185320749	Old High German	oldh1241	the pan	PAN	31		pfanna	pfanna 
396	11-5-31-1	752944644530854	Old High German	oldh1241	the dish	DISH	481		scâla	scâla 
397	11-5-33-1	752951603861844	Old High German	oldh1241	the bowl	BOWL	1530		(h)naph	(h)naph 
398	11-5-34-1	752952507917231	Old High German	oldh1241	the jug/pitcher	JUG	270		kruog	kruog 
399	11-5-35-1	752951603861844	Old High German	oldh1241	the cup	CUP	476		(h)naph	(h)naph 
400	11-5-37-1	752955678598126	Old High German	oldh1241	the spoon	SPOON	1378		leffil	leffil 
401	11-5-38-1	752957565730856	Old High German	oldh1241	the knife(1)	KNIFE (FOR EATING)	3210		mezzisahs	mezzisahs 
402	11-5-391-1	7521015983447122	Old High German	oldh1241	the tongs	TONGS	272		zanga	zanga 
403	11-5-41-1	7521017199092727	Old High German	oldh1241	the meal	MEAL	1526		gouma	gouma 
