Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
kahi (1)	<???>	kahi (1)	Hawaiian	1	U+006b U+0061 U+0068 U+0069 U+0020 U+0028 U+0031 U+0029
kope (1)	<???>	kope (1)	Hawaiian	1	U+006b U+006f U+0070 U+0065 U+0020 U+0028 U+0031 U+0029
wili (1)	<???>	wili (1)	Hawaiian	1	U+0077 U+0069 U+006c U+0069 U+0020 U+0028 U+0031 U+0029
komo (2)	<???>	komo (2)	Hawaiian	1	U+006b U+006f U+006d U+006f U+0020 U+0028 U+0032 U+0029
moe (2)	<???>	moe (2)	Hawaiian	1	U+006d U+006f U+0065 U+0020 U+0028 U+0032 U+0029
pahu (2)	<???>	pahu (2)	Hawaiian	1	U+0070 U+0061 U+0068 U+0075 U+0020 U+0028 U+0032 U+0029
huli (1)	<???>	huli (1)	Hawaiian	1	U+0068 U+0075 U+006c U+0069 U+0020 U+0028 U+0031 U+0029
^H	<?>	Helene	Hawaiian	1	U+005e U+0048
ipu (1)	<???>	ipu (1)	Hawaiian	1	U+0069 U+0070 U+0075 U+0020 U+0028 U+0031 U+0029
ala (1)	<???>	ala (1)	Hawaiian	1	U+0061 U+006c U+0061 U+0020 U+0028 U+0031 U+0029
kau (1)	<???>	kau (1)	Hawaiian	1	U+006b U+0061 U+0075 U+0020 U+0028 U+0031 U+0029
kāne (2)	<???>	kāne (2)	Hawaiian	1	U+006b U+0101 U+006e U+0065 U+0020 U+0028 U+0032 U+0029
wahine (2)	<???>	wahine (2)	Hawaiian	1	U+0077 U+0061 U+0068 U+0069 U+006e U+0065 U+0020 U+0028 U+0032 U+0029
komo (1)	<???>	komo (1)	Hawaiian	1	U+006b U+006f U+006d U+006f U+0020 U+0028 U+0031 U+0029
ku`i (1)	<???>	ku`i (1)	Hawaiian	1	U+006b U+0075 U+0060 U+0069 U+0020 U+0028 U+0031 U+0029
kī (4)	<???>	kī (4)	Hawaiian	1	U+006b U+012b U+0020 U+0028 U+0034 U+0029
pā (2)	<???>	pā (2)	Hawaiian	1	U+0070 U+0101 U+0020 U+0028 U+0032 U+0029
^a$	a	a	Hawaiian	1	U+005e U+0061 U+0024
