ID	Source_ID	Word_ID	Doculect	Glottocode	Concept	Concepticon_Gloss	Concepticon_ID	original_script	Value	Form
159	26-4-215-1	7215141264737880	Ceq Wong	chew1245	to blink	BLINK	1655		kilep	kilep 
160	26-4-22-1	7215141331279896	Ceq Wong	chew1245	the ear	EAR	1247		hntəŋ	hntəŋ 
161	26-4-221-1	7215141531515001	Ceq Wong	chew1245	the earlobe	EARLOBE	18		haleʔ hntəŋ	haleʔ hntəŋ 
162	26-4-222-1	721514196868943	Ceq Wong	chew1245	the earwax	EARWAX	32		ʔac hntəŋ	ʔac hntəŋ 
163	26-4-23-1	7215141628596365	Ceq Wong	chew1245	the nose	NOSE	1221		mɔ̃h	mɔ̃h 
164	26-4-231-1	7215141842515997	Ceq Wong	chew1245	the nostril	NOSTRIL	1178		daraŋ mɔ̃h	daraŋ mɔ̃h 
165	26-4-232-1	7215141553945002	Ceq Wong	chew1245	the nasal mucus	NASAL MUCUS (SNOT)	208		biʔ hawar	biʔ hawar 
166	26-4-24-1	721514196216125	Ceq Wong	chew1245	the mouth	MOUTH	674		hɑɲ	hɑɲ 
167	26-4-241-1	7215141766529259	Ceq Wong	chew1245	the beak	BEAK	73		paroh	paroh 
168	26-4-25-1	7215141336258608	Ceq Wong	chew1245	the lip	LIP	478		hoʔ hɑɲ	hoʔ hɑɲ 
169	26-4-26-1	7215141856910501	Ceq Wong	chew1245	the tongue	TONGUE	1205		latek	latek 
170	26-4-27-1	7215141758836549	Ceq Wong	chew1245	the tooth	TOOTH	1380		lmũɲ	lmũɲ 
171	26-4-271-1	7215141749124765	Ceq Wong	chew1245	the gums	GUMS	139		sac lmũɲ	sac lmũɲ 
172	26-4-272-1	7215141757799726	Ceq Wong	chew1245	the molar tooth	MOLAR TOOTH	1049		taŋgəm	taŋgəm 
173	26-4-28-1	7215141563512990	Ceq Wong	chew1245	the neck	NECK	1333		lŋɛ̃ʔ	lŋɛ̃ʔ 
174	26-4-281-1	7215141521764632	Ceq Wong	chew1245	the nape of the neck	NAPE (OF NECK)	1347		taŋkɔk	taŋkɔk 
175	26-4-29-1	7215141405552778	Ceq Wong	chew1245	the throat	THROAT	1346		cnroŋ	cnroŋ 
176	26-4-3-1	7215141468657284	Ceq Wong	chew1245	the shoulder	SHOULDER	1482		bahoʔ	bahoʔ 
