Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
kojtumrem ~ kojtumbrem	<???>	kojtumrem ~ kojtumbrem	Yaqui	1	U+006b U+006f U+006a U+0074 U+0075 U+006d U+0072 U+0065 U+006d U+0020 U+007e U+0020 U+006b U+006f U+006a U+0074 U+0075 U+006d U+0062 U+0072 U+0065 U+006d
nn	nn	tenne	Yaqui	1	U+006e U+006e
jeewi ~ eewi	<???>	jeewi ~ eewi	Yaqui	1	U+006a U+0065 U+0065 U+0077 U+0069 U+0020 U+007e U+0020 U+0065 U+0065 U+0077 U+0069
oo$	oo	bichoo	Yaqui	1	U+006f U+006f U+0024
ii$	ii	jitebii	Yaqui	1	U+0069 U+0069 U+0024
taata (2)	<???>	taata (2)	Yaqui	1	U+0074 U+0061 U+0061 U+0074 U+0061 U+0020 U+0028 U+0032 U+0029
apala ~ aparai	<???>	apala ~ aparai	Yaqui	1	U+0061 U+0070 U+0061 U+006c U+0061 U+0020 U+007e U+0020 U+0061 U+0070 U+0061 U+0072 U+0061 U+0069
si’ime (1)	<???>	si’ime (1)	Yaqui	1	U+0073 U+0069 U+2019 U+0069 U+006d U+0065 U+0020 U+0028 U+0031 U+0029
ian ~ i’ani	<???>	ian ~ i’ani	Yaqui	1	U+0069 U+0061 U+006e U+0020 U+007e U+0020 U+0069 U+2019 U+0061 U+006e U+0069
banko (2)	<???>	banko (2)	Yaqui	1	U+0062 U+0061 U+006e U+006b U+006f U+0020 U+0028 U+0032 U+0029
laatano ~ plaatano	<???>	laatano ~ plaatano	Yaqui	1	U+006c U+0061 U+0061 U+0074 U+0061 U+006e U+006f U+0020 U+007e U+0020 U+0070 U+006c U+0061 U+0061 U+0074 U+0061 U+006e U+006f
kaate (1)	<???>	kaate (1)	Yaqui	1	U+006b U+0061 U+0061 U+0074 U+0065 U+0020 U+0028 U+0031 U+0029
japte (2)	<???>	japte (2)	Yaqui	1	U+006a U+0061 U+0070 U+0074 U+0065 U+0020 U+0028 U+0032 U+0029
^o$	o	o	Yaqui	1	U+005e U+006f U+0024
