Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
bulu (burung)	<???>	bulu (burung)	Indonesian	1	U+0062 U+0075 U+006c U+0075 U+0020 U+0028 U+0062 U+0075 U+0072 U+0075 U+006e U+0067 U+0029
(ikan) hiu	<???>	(ikan) hiu	Indonesian	1	U+0028 U+0069 U+006b U+0061 U+006e U+0029 U+0020 U+0068 U+0069 U+0075
^R	<?>	Rabu	Indonesian	1	U+005e U+0052
(buah) anggur	<???>	(buah) anggur	Indonesian	1	U+0028 U+0062 U+0075 U+0061 U+0068 U+0029 U+0020 U+0061 U+006e U+0067 U+0067 U+0075 U+0072
situ (1)	<???>	situ (1)	Indonesian	1	U+0073 U+0069 U+0074 U+0075 U+0020 U+0028 U+0031 U+0029
siang (2)	<???>	siang (2)	Indonesian	1	U+0073 U+0069 U+0061 U+006e U+0067 U+0020 U+0028 U+0032 U+0029
ss	ss	massa	Indonesian	1	U+0073 U+0073
mengguncang(kan)	<???>	mengguncang(kan)	Indonesian	1	U+006d U+0065 U+006e U+0067 U+0067 U+0075 U+006e U+0063 U+0061 U+006e U+0067 U+0028 U+006b U+0061 U+006e U+0029
(burung) puyuh	<???>	(burung) puyuh	Indonesian	1	U+0028 U+0062 U+0075 U+0072 U+0075 U+006e U+0067 U+0029 U+0020 U+0070 U+0075 U+0079 U+0075 U+0068
^P	<?>	PSK	Indonesian	1	U+005e U+0050
I	<?>	SIM	Indonesian	1	U+0049
marga (1)	<???>	marga (1)	Indonesian	1	U+006d U+0061 U+0072 U+0067 U+0061 U+0020 U+0028 U+0031 U+0029
(di) belakang	<???>	(di) belakang	Indonesian	1	U+0028 U+0064 U+0069 U+0029 U+0020 U+0062 U+0065 U+006c U+0061 U+006b U+0061 U+006e U+0067
(ikan) pari	<???>	(ikan) pari	Indonesian	1	U+0028 U+0069 U+006b U+0061 U+006e U+0029 U+0020 U+0070 U+0061 U+0072 U+0069
pembuluh (darah)	<???>	pembuluh (darah)	Indonesian	1	U+0070 U+0065 U+006d U+0062 U+0075 U+006c U+0075 U+0068 U+0020 U+0028 U+0064 U+0061 U+0072 U+0061 U+0068 U+0029
^kh	kh	khitan	Indonesian	1	U+005e U+006b U+0068
(gigi) geraham	<???>	(gigi) geraham	Indonesian	1	U+0028 U+0067 U+0069 U+0067 U+0069 U+0029 U+0020 U+0067 U+0065 U+0072 U+0061 U+0068 U+0061 U+006d
C$	<?>	WC	Indonesian	1	U+0043 U+0024
pesawat (terbang)	<???>	pesawat (terbang)	Indonesian	1	U+0070 U+0065 U+0073 U+0061 U+0077 U+0061 U+0074 U+0020 U+0028 U+0074 U+0065 U+0072 U+0062 U+0061 U+006e U+0067 U+0029
^és$	és	és	Indonesian	1	U+005e U+00e9 U+0073 U+0024
diam (2)	<???>	diam (2)	Indonesian	1	U+0064 U+0069 U+0061 U+006d U+0020 U+0028 U+0032 U+0029
V$	<?>	TV	Indonesian	1	U+0056 U+0024
warga(negara)	<???>	warga(negara)	Indonesian	1	U+0077 U+0061 U+0072 U+0067 U+0061 U+0028 U+006e U+0065 U+0067 U+0061 U+0072 U+0061 U+0029
(kain) lap	<???>	(kain) lap	Indonesian	1	U+0028 U+006b U+0061 U+0069 U+006e U+0029 U+0020 U+006c U+0061 U+0070
camar (laut)	<???>	camar (laut)	Indonesian	1	U+0063 U+0061 U+006d U+0061 U+0072 U+0020 U+0028 U+006c U+0061 U+0075 U+0074 U+0029
