Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
k$	k	nə̀mkə́də́k, fárák	Kanuri	8	U+006b U+0024
û$	û	kə̀mbû, cû	Kanuri	8	U+00fb U+0024
.	<?>	ngáwò.... bèn, gə́rè…..bèn	Kanuri	8	U+002e
p$	p	ájàp, klóp	Kanuri	8	U+0070 U+0024
òw	òw	hòwùmtə́, bòwòtà	Kanuri	7	U+00f2 U+0077
ô$	ô	rô, ràtô	Kanuri	7	U+00f4 U+0024
àà	àà	mààrá njîbè, jóngò mààrá njîbè	Kanuri	6	U+00e0 U+00e0
ós	ós	wóstə́, sósì	Kanuri	6	U+00f3 U+0073
t$	t	táwàt, póskàt	Kanuri	6	U+0074 U+0024
-	<?>	-làn, kàm-kám	Kanuri	5	U+002d
bb	bb	cíbbù, dábbà	Kanuri	5	U+0062 U+0062
ǎ	ǎ	ádə̀gǎì, tǎttə́	Kanuri	5	U+01ce
èw	èw	mèwú, nə̀mlèwáà	Kanuri	5	U+00e8 U+0077
u$	u	jâu, kâu	Kanuri	5	U+0075 U+0024
rs	rs	sérsér, kə́rsàsà	Kanuri	4	U+0072 U+0073
ìs	ìs	fìsàttə́, bìské	Kanuri	4	U+00ec U+0073
h	h	báhàr, záhìr	Kanuri	4	U+0068
^í	í	ínjìn, ísò	Kanuri	4	U+005e U+00ed
mm	mm	nə̀mmə̀náfùk, sámmá	Kanuri	4	U+006d U+006d
g$	g	góngóng, wáyáng	Kanuri	3	U+0067 U+0024
s$	s	bàrmús, bás	Kanuri	3	U+0073 U+0024
^àsh	àsh	àshêm zə̀mtə́, àsháná	Kanuri	3	U+005e U+00e0 U+0073 U+0068
éw	éw	sə̀kùldə̀réwà, béwó	Kanuri	3	U+00e9 U+0077
és	és	yéstə́, césà	Kanuri	3	U+00e9 U+0073
gw	gw	kwàngwàrám, díwò kôngwâ	Kanuri	2	U+0067 U+0077
…	<?>	gə́rè…..bèn, ngáwò…..bèn	Kanuri	2	U+2026
ès	ès	fə̀rèsìdân, ngèstə́	Kanuri	2	U+00e8 U+0073
cîr (f.)	<???>	cîr (f.)	Kanuri	2	U+0063 U+00ee U+0072 U+0020 U+0028 U+0066 U+002e U+0029
^àw	àw	àwó, àwá cíntà	Kanuri	2	U+005e U+00e0 U+0077
ms	ms	gúmsù, kámsàl	Kanuri	2	U+006d U+0073
âs$	âs	gə̀lâs, bâs	Kanuri	2	U+00e2 U+0073 U+0024
o$	o	wásàm yikko, kə̀náshîm yikko	Kanuri	2	U+006f U+0024
íí	íí	líítà, jíínà	Kanuri	2	U+00ed U+00ed
rr	rr	fêrrò kə̀mbâ, nûrrà	Kanuri	2	U+0072 U+0072
òs	òs	kòsòmá, mòsóró	Kanuri	2	U+00f2 U+0073
^p	p	pòlîs, póskàt	Kanuri	2	U+005e U+0070
àsh	àsh	kàskàshí, kàshíngò	Kanuri	2	U+00e0 U+0073 U+0068
^â	â	âm, âu	Kanuri	2	U+005e U+00e2
i	i	wásàm yikko, kə̀náshîm yikko	Kanuri	2	U+0069
'à$	'à	á'à	Kanuri	1	U+0027 U+00e0 U+0024
ǔ	ǔ	kǔltù	Kanuri	1	U+01d4
cc	cc	bàccíà	Kanuri	1	U+0063 U+0063
u	u	kâu kə̀ráttə́ràm	Kanuri	1	U+0075
àà$	àà	wàltàà	Kanuri	1	U+00e0 U+00e0 U+0024
^a$	a	-a	Kanuri	1	U+005e U+0061 U+0024
ə	ə	yəmbò	Kanuri	1	U+0259
dúnò (1)	<???>	dúnò (1)	Kanuri	1	U+0064 U+00fa U+006e U+00f2 U+0020 U+0028 U+0031 U+0029
nsh	nsh	kə̀nshê	Kanuri	1	U+006e U+0073 U+0068
kîr (f.) kàléà	<???>	kîr (f.) kàléà	Kanuri	1	U+006b U+00ee U+0072 U+0020 U+0028 U+0066 U+002e U+0029 U+0020 U+006b U+00e0 U+006c U+00e9 U+00e0
^Á	<?>	Álà	Kanuri	1	U+005e U+00c1
ôs$	ôs	bùrôs	Kanuri	1	U+00f4 U+0073 U+0024
'á	'á	nà'ám	Kanuri	1	U+0027 U+00e1
lètə́ (2)	<???>	lètə́ (2)	Kanuri	1	U+006c U+00e8 U+0074 U+0259 U+0301 U+0020 U+0028 U+0032 U+0029
ə̌$	ə̌	kə̀skə̌	Kanuri	1	U+0259 U+030c U+0024
kw	kw	kwákwà	Kanuri	1	U+006b U+0077
əˆ	əˆ	gə̀rəˆs	Kanuri	1	U+0259 U+02c6
cúkú (1)	<???>	cúkú (1)	Kanuri	1	U+0063 U+00fa U+006b U+00fa U+0020 U+0028 U+0031 U+0029
^ó	ó	ódà dìò	Kanuri	1	U+005e U+00f3
ls	ls	súlsúl	Kanuri	1	U+006c U+0073
dúnó (2)	<???>	dúnó (2)	Kanuri	1	U+0064 U+00fa U+006e U+00f3 U+0020 U+0028 U+0032 U+0029
psh	psh	tə́pshì	Kanuri	1	U+0070 U+0073 U+0068
îs$	îs	pòlîs	Kanuri	1	U+00ee U+0073 U+0024
àh	àh	wàhàrtə́	Kanuri	1	U+00e0 U+0068
cúkú (2)	<???>	cúkú (2)	Kanuri	1	U+0063 U+00fa U+006b U+00fa U+0020 U+0028 U+0032 U+0029
ìì	ìì	lììtàrí	Kanuri	1	U+00ec U+00ec
áá	áá	sáátə́	Kanuri	1	U+00e1 U+00e1
