Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
rs	ɾ s	pwersa, karsa	Zinacantán Tzotzil	3	U+0072 U+0073
g	g	lugar, lagrio	Zinacantán Tzotzil	3	U+0067
'_	NULL	nup' ba, ti' _________	Zinacantán Tzotzil	2	U+0027 U+005f
________________$	NULL	tot _______________, me7 _______________	Zinacantán Tzotzil	2	U+005f U+005f U+005f U+005f U+005f U+005f U+005f U+005f U+005f U+005f U+005f U+005f U+005f U+005f U+005f U+005f U+0024
^x	ʃ	xuk'av, xax	Zinacantán Tzotzil	2	U+005e U+0078
x$	ʃ	k'ex, xax	Zinacantán Tzotzil	2	U+0078 U+0024
r$	r	lo*ktor, lugar	Zinacantán Tzotzil	2	U+0072 U+0024
ks	k s	puksat balamil, 7inteksyon	Zinacantán Tzotzil	2	U+006b U+0073
c	c	vacash, vaca	Zinacantán Tzotzil	2	U+0063
bw	ɓʷ	7ak’ bwelta	Zinacantán Tzotzil	2	U+0062 U+0077
ii	iː	biil, biin	Zinacantán Tzotzil	2	U+0069 U+0069
^kw	kʷ	kwenta	Zinacantán Tzotzil	1	U+005e U+006b U+0077
bh	ɓ h	chabhe	Zinacantán Tzotzil	1	U+0062 U+0068
kw	kʷ	pas kwenta	Zinacantán Tzotzil	1	U+006b U+0077
ns	n s	lansa	Zinacantán Tzotzil	1	U+006e U+0073
ts	t + s	setset	Zinacantán Tzotzil	1	U+0074 U+0073
nsh	n ʃ	konsha	Zinacantán Tzotzil	1	U+006e U+0073 U+0068
_______________$	NULL	hay ______________	Zinacantán Tzotzil	1	U+005f U+005f U+005f U+005f U+005f U+005f U+005f U+005f U+005f U+005f U+005f U+005f U+005f U+005f U+005f U+0024
^hw	hʷ	hweves	Zinacantán Tzotzil	1	U+005e U+0068 U+0077
ps	p s	sipson	Zinacantán Tzotzil	1	U+0070 U+0073
nh	n h	sakil tranhero 7isak’	Zinacantán Tzotzil	1	U+006e U+0068
lh	l h	volhe	Zinacantán Tzotzil	1	U+006c U+0068
_$	NULL	jmak-_	Zinacantán Tzotzil	1	U+005f U+0024
_________$	NULL	ti' _________	Zinacantán Tzotzil	1	U+005f U+005f U+005f U+005f U+005f U+005f U+005f U+005f U+005f U+0024
bb	ɓ + ɓ	k’elobbail	Zinacantán Tzotzil	1	U+0062 U+0062
^pw	pʷ	pwersa	Zinacantán Tzotzil	1	U+005e U+0070 U+0077
^w	w	wey	Zinacantán Tzotzil	1	U+005e U+0077
u’	u ʔ				
a’	a ʔ				
u*	u ́/u				
o*	o ́/o				
'	ʔ				
tz’	tsʼ	tz’utz’unchab	Zinacantán Tzotzil	1	
