Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
rs	r s	arsi, barsil gat’	Archi	10	U+0072 U+0073
^r	r	raq, raˤhu	Archi	10	U+005e U+0072
^w	w	wakɬʼad, wikɬ	Archi	10	U+005e U+0077
^ž	ʒ	žara, žawab kɬordu	Archi	10	U+005e U+017e
-	+	uš-mu-n lo, naˤkɬʼ-du-t	Archi	10	U+002d
aː	aː	jaːχˤas, tamaːša itːut	Archi	9	U+0061 U+02d0
š$	ʃ	noˤš, iš	Archi	9	U+0161 U+0024
^ħ	ħ	ħukumat, ħeleku	Archi	9	U+005e U+0127
χː	χː	marχːəla, eˤčʼ sotʼu eχːas	Archi	9	U+03c7 U+02d0
^cʼ	tsʼ	cʼunas, cʼor	Archi	9	U+005e U+0063 U+02bc
w$	w	tow, jonsaw	Archi	8	U+0077 U+0024
^ɬ	ɬ	ɬebila, ɬamc'a	Archi	8	U+005e U+026c
^kʼ	kʼ	kʼočʼo, kʼalaj	Archi	8	U+005e U+006b U+02bc
qː	qː	noqː'ˤon, hoti gʷarqː'i	Archi	8	U+0071 U+02d0
^gʷ	gʷ	gʷeniši, gʷači	Archi	8	U+005e U+0067 U+02b7
qʼ$	qʼ	diqʼ, huqʼ	Archi	8	U+0071 U+02bc U+0024
^šː	tʃː	šːak, šːubus	Archi	8	U+005e U+0161 U+02d0
^ɬːʷ	ɬːʷ	ɬːʷak, ɬːʷiri	Archi	7	U+005e U+026c U+02d0 U+02b7
uˤ	uˤ	šːuˤmmuˤs, č‘uˤhdu	Archi	7	U+0075 U+02e4
^tʼ	tʼ	tʼeˤ, tʼeˤčʼu	Archi	7	U+005e U+0074 U+02bc
ʕ	ʕ	sːaʕat, maʕni	Archi	7	U+0295
cʼ$	tsʼ	ocʼ, darcʼ	Archi	7	U+0063 U+02bc U+0024
ħ	ħ	talaħ bitʼu, c’aħannin ustar	Archi	7	U+0127
χːˤ	χːˤ	beχːˤe kes, boχːˤo qˤes	Archi	6	U+03c7 U+02d0 U+02e4
ɬ$	ɬ	wikɬ, oɬ	Archi	6	U+026c U+0024
d$	d	wakɬʼad, jakɬʼad	Archi	6	U+0064 U+0024
kʼ	kʼ	marzu-kʼolor, ikʼmitːut	Archi	6	U+006b U+02bc
cʼ	tsʼ	χacʼi, aːcʼutːut	Archi	5	U+0063 U+02bc
t:	tː	ʁilit:ut, asmus orqat:ur	Archi	5	U+0074 U+003a
eˤ	eˤ	čʼeˤn, peˤh	Archi	5	U+0065 U+02e4
^χːˤ	χːˤ	χːˤel, χːˤološgértːi	Archi	5	U+005e U+03c7 U+02d0 U+02e4
p$	p	ištarap, žip	Archi	5	U+0070 U+0024
tʼ$	tʼ	gatʼ, qʼˤutʼ	Archi	5	U+0074 U+02bc U+0024
sː	sː	osːos, nesːen	Archi	5	U+0073 U+02d0
