Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
jiao1 (3)	<???>	jiao1 (3)	Mandarin Chinese	1	U+006a U+0069 U+0061 U+006f U+0031 U+0020 U+0028 U+0033 U+0029
(zai ...) zhi1hou4	<???>	(zai ...) zhi1hou4	Mandarin Chinese	1	U+0028 U+007a U+0061 U+0069 U+0020 U+002e U+002e U+002e U+0029 U+0020 U+007a U+0068 U+0069 U+0031 U+0068 U+006f U+0075 U+0034
you4 (1)	<???>	you4 (1)	Mandarin Chinese	1	U+0079 U+006f U+0075 U+0034 U+0020 U+0028 U+0031 U+0029
gan1 (2)	<???>	gan1 (2)	Mandarin Chinese	1	U+0067 U+0061 U+006e U+0031 U+0020 U+0028 U+0032 U+0029
you4 (2)	<???>	you4 (2)	Mandarin Chinese	1	U+0079 U+006f U+0075 U+0034 U+0020 U+0028 U+0032 U+0029
jiu3 (1)	<???>	jiu3 (1)	Mandarin Chinese	1	U+006a U+0069 U+0075 U+0033 U+0020 U+0028 U+0031 U+0029
yu3 (2)	<???>	yu3 (2)	Mandarin Chinese	1	U+0079 U+0075 U+0033 U+0020 U+0028 U+0032 U+0029
he2 (2)	<???>	he2 (2)	Mandarin Chinese	1	U+0068 U+0065 U+0032 U+0020 U+0028 U+0032 U+0029
jian4 (1)	<???>	jian4 (1)	Mandarin Chinese	1	U+006a U+0069 U+0061 U+006e U+0034 U+0020 U+0028 U+0031 U+0029
kuan1 (2)	<???>	kuan1 (2)	Mandarin Chinese	1	U+006b U+0075 U+0061 U+006e U+0031 U+0020 U+0028 U+0032 U+0029
fu4 (2)	<???>	fu4 (2)	Mandarin Chinese	1	U+0066 U+0075 U+0034 U+0020 U+0028 U+0032 U+0029
zhen1 (2)	<???>	zhen1 (2)	Mandarin Chinese	1	U+007a U+0068 U+0065 U+006e U+0031 U+0020 U+0028 U+0032 U+0029
