Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^lw	lw	lwm, lwj	White Hmong	4	U+005e U+006c U+0077
aa	aa	naas mom, naam	White Hmong	4	U+0061 U+0061
tawv (1)	<???>	tawv (1)	White Hmong	3	U+0074 U+0061 U+0077 U+0076 U+0020 U+0028 U+0031 U+0029
dab (2)	<???>	dab (2)	White Hmong	3	U+0064 U+0061 U+0062 U+0020 U+0028 U+0032 U+0029
^tw	tw	twg, twj ywm	White Hmong	3	U+005e U+0074 U+0077
pw	pw	xub pwg, cwj pwm	White Hmong	3	U+0070 U+0077
rh	rh	nrhiav, khaub rhuab	White Hmong	3	U+0072 U+0068
tw	tw	qhov twg, thaum twg	White Hmong	3	U+0074 U+0077
^cw	cw	cwj mem, cwj nrig	White Hmong	3	U+005e U+0063 U+0077
peb (1)	<???>	peb (1)	White Hmong	3	U+0070 U+0065 U+0062 U+0020 U+0028 U+0031 U+0029
kub (1)	<???>	kub (1)	White Hmong	2	U+006b U+0075 U+0062 U+0020 U+0028 U+0031 U+0029
xav (1)	<???>	xav (1)	White Hmong	2	U+0078 U+0061 U+0076 U+0020 U+0028 U+0031 U+0029
tshuab (2)	<???>	tshuab (2)	White Hmong	2	U+0074 U+0073 U+0068 U+0075 U+0061 U+0062 U+0020 U+0028 U+0032 U+0029
d$	d	ntawd	White Hmong	2	U+0064 U+0024
^khw$	khw	khw	White Hmong	2	U+005e U+006b U+0068 U+0077 U+0024
^fw	fw	fwj kais, fwj	White Hmong	2	U+005e U+0066 U+0077
teb (1)	<???>	teb (1)	White Hmong	2	U+0074 U+0065 U+0062 U+0020 U+0028 U+0031 U+0029
rau (2)	<???>	rau (2)	White Hmong	2	U+0072 U+0061 U+0075 U+0020 U+0028 U+0032 U+0029
tws$	tws	ntws, yiv tws	White Hmong	2	U+0074 U+0077 U+0073 U+0024
fw	fw	xib fwb	White Hmong	2	U+0066 U+0077
^thw	thw	thwj, thwv cib	White Hmong	2	U+005e U+0074 U+0068 U+0077
sau (1)	<???>	sau (1)	White Hmong	2	U+0073 U+0061 U+0075 U+0020 U+0028 U+0031 U+0029
^kws	kws	kws kho mob, kws ntaus hlau	White Hmong	2	U+005e U+006b U+0077 U+0073
duav (1)	<???>	duav (1)	White Hmong	2	U+0064 U+0075 U+0061 U+0076 U+0020 U+0028 U+0031 U+0029
siab (1)	<???>	siab (1)	White Hmong	2	U+0073 U+0069 U+0061 U+0062 U+0020 U+0028 U+0031 U+0029
^qw	qw	qw nrov, qwj	White Hmong	2	U+005e U+0071 U+0077
^g	g	gus, gaib	White Hmong	2	U+005e U+0067
^dh	dh	dhia, dhau	White Hmong	2	U+005e U+0064 U+0068
qab (2)	<???>	qab (2)	White Hmong	2	U+0071 U+0061 U+0062 U+0020 U+0028 U+0032 U+0029
rw	rw	ntsaum kab-rwg, paj rwb	White Hmong	2	U+0072 U+0077
dav (1)	<???>	dav (1)	White Hmong	2	U+0064 U+0061 U+0076 U+0020 U+0028 U+0031 U+0029
duav (2)	<???>	duav (2)	White Hmong	2	U+0064 U+0075 U+0061 U+0076 U+0020 U+0028 U+0032 U+0029
Tsw	<?>	thov Vaj Tswv, Vaj Tswv	White Hmong	2	U+0054 U+0073 U+0077
siab (2)	<???>	siab (2)	White Hmong	2	U+0073 U+0069 U+0061 U+0062 U+0020 U+0028 U+0032 U+0029
^xw	xw	xwb, xwb kuab	White Hmong	2	U+005e U+0078 U+0077
dh	dh	ras dheev, tsim dheev	White Hmong	2	U+0064 U+0068
hw	hw	xib hwb	White Hmong	2	U+0068 U+0077
^qw$	qw	qw	White Hmong	1	U+005e U+0071 U+0077 U+0024
^e	e	ev	White Hmong	1	U+005e U+0065
twv (2)	<???>	twv (2)	White Hmong	1	U+0074 U+0077 U+0076 U+0020 U+0028 U+0032 U+0029
daj (2)	<???>	daj (2)	White Hmong	1	U+0064 U+0061 U+006a U+0020 U+0028 U+0032 U+0029
muag (2)	<???>	muag (2)	White Hmong	1	U+006d U+0075 U+0061 U+0067 U+0020 U+0028 U+0032 U+0029
tom (2)	<???>	tom (2)	White Hmong	1	U+0074 U+006f U+006d U+0020 U+0028 U+0032 U+0029
lim (2)	<???>	lim (2)	White Hmong	1	U+006c U+0069 U+006d U+0020 U+0028 U+0032 U+0029
txiv (2)	<???>	txiv (2)	White Hmong	1	U+0074 U+0078 U+0069 U+0076 U+0020 U+0028 U+0032 U+0029
los (1)	<???>	los (1)	White Hmong	1	U+006c U+006f U+0073 U+0020 U+0028 U+0031 U+0029
kub (3)	<???>	kub (3)	White Hmong	1	U+006b U+0075 U+0062 U+0020 U+0028 U+0033 U+0029
ntiav (2)	<???>	ntiav (2)	White Hmong	1	U+006e U+0074 U+0069 U+0061 U+0076 U+0020 U+0028 U+0032 U+0029
^qhws	qhws	qhws ntsej	White Hmong	1	U+005e U+0071 U+0068 U+0077 U+0073
ntoo (2)	<???>	ntoo (2)	White Hmong	1	U+006e U+0074 U+006f U+006f U+0020 U+0028 U+0032 U+0029
plaub (2)	<???>	plaub (2)	White Hmong	1	U+0070 U+006c U+0061 U+0075 U+0062 U+0020 U+0028 U+0032 U+0029
thw	thw	nthwv dej	White Hmong	1	U+0074 U+0068 U+0077
lim (1)	<???>	lim (1)	White Hmong	1	U+006c U+0069 U+006d U+0020 U+0028 U+0031 U+0029
rau (1)	<???>	rau (1)	White Hmong	1	U+0072 U+0061 U+0075 U+0020 U+0028 U+0031 U+0029
ntiav (1)	<???>	ntiav (1)	White Hmong	1	U+006e U+0074 U+0069 U+0061 U+0076 U+0020 U+0028 U+0031 U+0029
txais (2)	<???>	txais (2)	White Hmong	1	U+0074 U+0078 U+0061 U+0069 U+0073 U+0020 U+0028 U+0032 U+0029
teeb (2)	<???>	teeb (2)	White Hmong	1	U+0074 U+0065 U+0065 U+0062 U+0020 U+0028 U+0032 U+0029
tuav (2)	<???>	tuav (2)	White Hmong	1	U+0074 U+0075 U+0061 U+0076 U+0020 U+0028 U+0032 U+0029
kaw (1)	<???>	kaw (1)	White Hmong	1	U+006b U+0061 U+0077 U+0020 U+0028 U+0031 U+0029
dav (2)	<???>	dav (2)	White Hmong	1	U+0064 U+0061 U+0076 U+0020 U+0028 U+0032 U+0029
^qws$	qws	qws	White Hmong	1	U+005e U+0071 U+0077 U+0073 U+0024
ua (mov) noj	<???>	ua (mov) noj	White Hmong	1	U+0075 U+0061 U+0020 U+0028 U+006d U+006f U+0076 U+0029 U+0020 U+006e U+006f U+006a
muag (1)	<???>	muag (1)	White Hmong	1	U+006d U+0075 U+0061 U+0067 U+0020 U+0028 U+0031 U+0029
nrog (1)	<???>	nrog (1)	White Hmong	1	U+006e U+0072 U+006f U+0067 U+0020 U+0028 U+0031 U+0029
tshuab (1)	<???>	tshuab (1)	White Hmong	1	U+0074 U+0073 U+0068 U+0075 U+0061 U+0062 U+0020 U+0028 U+0031 U+0029
los (2)	<???>	los (2)	White Hmong	1	U+006c U+006f U+0073 U+0020 U+0028 U+0032 U+0029
xhw$	xhw	ntxhw	White Hmong	1	U+0078 U+0068 U+0077 U+0024
ntsia (1)	<???>	ntsia (1)	White Hmong	1	U+006e U+0074 U+0073 U+0069 U+0061 U+0020 U+0028 U+0031 U+0029
qab (1)	<???>	qab (1)	White Hmong	1	U+0071 U+0061 U+0062 U+0020 U+0028 U+0031 U+0029
^hws$	hws	hws	White Hmong	1	U+005e U+0068 U+0077 U+0073 U+0024
daj (1)	<???>	daj (1)	White Hmong	1	U+0064 U+0061 U+006a U+0020 U+0028 U+0031 U+0029
tog (1)	<???>	tog (1)	White Hmong	1	U+0074 U+006f U+0067 U+0020 U+0028 U+0031 U+0029
^tw$	tw	tw	White Hmong	1	U+005e U+0074 U+0077 U+0024
ntxias (1)	<???>	ntxias (1)	White Hmong	1	U+006e U+0074 U+0078 U+0069 U+0061 U+0073 U+0020 U+0028 U+0031 U+0029
xub (2)	<???>	xub (2)	White Hmong	1	U+0078 U+0075 U+0062 U+0020 U+0028 U+0032 U+0029
teeb (1)	<???>	teeb (1)	White Hmong	1	U+0074 U+0065 U+0065 U+0062 U+0020 U+0028 U+0031 U+0029
so (1)	<???>	so (1)	White Hmong	1	U+0073 U+006f U+0020 U+0028 U+0031 U+0029
^rw	rw	rwj	White Hmong	1	U+005e U+0072 U+0077
liab (2)	<???>	liab (2)	White Hmong	1	U+006c U+0069 U+0061 U+0062 U+0020 U+0028 U+0032 U+0029
dua (1)	<???>	dua (1)	White Hmong	1	U+0064 U+0075 U+0061 U+0020 U+0028 U+0031 U+0029
tog (2)	<???>	tog (2)	White Hmong	1	U+0074 U+006f U+0067 U+0020 U+0028 U+0032 U+0029
xav (2)	<???>	xav (2)	White Hmong	1	U+0078 U+0061 U+0076 U+0020 U+0028 U+0032 U+0029
ntxias (2)	<???>	ntxias (2)	White Hmong	1	U+006e U+0074 U+0078 U+0069 U+0061 U+0073 U+0020 U+0028 U+0032 U+0029
twm (1)	<???>	twm (1)	White Hmong	1	U+0074 U+0077 U+006d U+0020 U+0028 U+0031 U+0029
nrog (2)	<???>	nrog (2)	White Hmong	1	U+006e U+0072 U+006f U+0067 U+0020 U+0028 U+0032 U+0029
fws$	fws	tawm fws	White Hmong	1	U+0066 U+0077 U+0073 U+0024
peb (2)	<???>	peb (2)	White Hmong	1	U+0070 U+0065 U+0062 U+0020 U+0028 U+0032 U+0029
kub (2)	<???>	kub (2)	White Hmong	1	U+006b U+0075 U+0062 U+0020 U+0028 U+0032 U+0029
rau (3)	<???>	rau (3)	White Hmong	1	U+0072 U+0061 U+0075 U+0020 U+0028 U+0033 U+0029
kwv (2)	<???>	kwv (2)	White Hmong	1	U+006b U+0077 U+0076 U+0020 U+0028 U+0032 U+0029
los (3)	<???>	los (3)	White Hmong	1	U+006c U+006f U+0073 U+0020 U+0028 U+0033 U+0029
tog (3)	<???>	tog (3)	White Hmong	1	U+0074 U+006f U+0067 U+0020 U+0028 U+0033 U+0029
ms	ms	tamsim	White Hmong	1	U+006d U+0073
pua (1)	<???>	pua (1)	White Hmong	1	U+0070 U+0075 U+0061 U+0020 U+0028 U+0031 U+0029
luv (2)	<???>	luv (2)	White Hmong	1	U+006c U+0075 U+0076 U+0020 U+0028 U+0032 U+0029
^tsw$	tsw	tsw	White Hmong	1	U+005e U+0074 U+0073 U+0077 U+0024
xub (1)	<???>	xub (1)	White Hmong	1	U+0078 U+0075 U+0062 U+0020 U+0028 U+0031 U+0029
twv (1)	<???>	twv (1)	White Hmong	1	U+0074 U+0077 U+0076 U+0020 U+0028 U+0031 U+0029
kaum (2)	<???>	kaum (2)	White Hmong	1	U+006b U+0061 U+0075 U+006d U+0020 U+0028 U+0032 U+0029
twm (2)	<???>	twm (2)	White Hmong	1	U+0074 U+0077 U+006d U+0020 U+0028 U+0032 U+0029
pua (2)	<???>	pua (2)	White Hmong	1	U+0070 U+0075 U+0061 U+0020 U+0028 U+0032 U+0029
kaw (2)	<???>	kaw (2)	White Hmong	1	U+006b U+0061 U+0077 U+0020 U+0028 U+0032 U+0029
teb (2)	<???>	teb (2)	White Hmong	1	U+0074 U+0065 U+0062 U+0020 U+0028 U+0032 U+0029
caij (2)	<???>	caij (2)	White Hmong	1	U+0063 U+0061 U+0069 U+006a U+0020 U+0028 U+0032 U+0029
kab (1)	<???>	kab (1)	White Hmong	1	U+006b U+0061 U+0062 U+0020 U+0028 U+0031 U+0029
kab (2)	<???>	kab (2)	White Hmong	1	U+006b U+0061 U+0062 U+0020 U+0028 U+0032 U+0029
^rh	rh	rhaus	White Hmong	1	U+005e U+0072 U+0068
^w$	w	w	White Hmong	1	U+005e U+0077 U+0024
tawv (2)	<???>	tawv (2)	White Hmong	1	U+0074 U+0061 U+0077 U+0076 U+0020 U+0028 U+0032 U+0029
(khob) noom	<???>	(khob) noom	White Hmong	1	U+0028 U+006b U+0068 U+006f U+0062 U+0029 U+0020 U+006e U+006f U+006f U+006d
ntsia (2)	<???>	ntsia (2)	White Hmong	1	U+006e U+0074 U+0073 U+0069 U+0061 U+0020 U+0028 U+0032 U+0029
hws$	hws	tawm hws	White Hmong	1	U+0068 U+0077 U+0073 U+0024
swb (2)	<???>	swb (2)	White Hmong	1	U+0073 U+0077 U+0062 U+0020 U+0028 U+0032 U+0029
^pw$	pw	pw	White Hmong	1	U+005e U+0070 U+0077 U+0024
so (2)	<???>	so (2)	White Hmong	1	U+0073 U+006f U+0020 U+0028 U+0032 U+0029
^o$	o	o	White Hmong	1	U+005e U+006f U+0024
^w	w	wm	White Hmong	1	U+005e U+0077
txais (1)	<???>	txais (1)	White Hmong	1	U+0074 U+0078 U+0061 U+0069 U+0073 U+0020 U+0028 U+0031 U+0029
kwv (1)	<???>	kwv (1)	White Hmong	1	U+006b U+0077 U+0076 U+0020 U+0028 U+0031 U+0029
tsws$	tsws	ntsws	White Hmong	1	U+0074 U+0073 U+0077 U+0073 U+0024
tais (1)	<???>	tais (1)	White Hmong	1	U+0074 U+0061 U+0069 U+0073 U+0020 U+0028 U+0031 U+0029
dua (2)	<???>	dua (2)	White Hmong	1	U+0064 U+0075 U+0061 U+0020 U+0028 U+0032 U+0029
^qws	qws	qws txob	White Hmong	1	U+005e U+0071 U+0077 U+0073
caij (1)	<???>	caij (1)	White Hmong	1	U+0063 U+0061 U+0069 U+006a U+0020 U+0028 U+0031 U+0029
^V	<?>	Vaj Tswv	White Hmong	1	U+005e U+0056
S	<?>	Yawm Saub	White Hmong	1	U+0053
^vw	vw	vwm	White Hmong	1	U+005e U+0076 U+0077
ris (1)	<???>	ris (1)	White Hmong	1	U+0072 U+0069 U+0073 U+0020 U+0028 U+0031 U+0029
kws$	kws	pobkws	White Hmong	1	U+006b U+0077 U+0073 U+0024
kaum (1)	<???>	kaum (1)	White Hmong	1	U+006b U+0061 U+0075 U+006d U+0020 U+0028 U+0031 U+0029
liab (1)	<???>	liab (1)	White Hmong	1	U+006c U+0069 U+0061 U+0062 U+0020 U+0028 U+0031 U+0029
luv (1)	<???>	luv (1)	White Hmong	1	U+006c U+0075 U+0076 U+0020 U+0028 U+0031 U+0029
tom (1)	<???>	tom (1)	White Hmong	1	U+0074 U+006f U+006d U+0020 U+0028 U+0031 U+0029
ris (2)	<???>	ris (2)	White Hmong	1	U+0072 U+0069 U+0073 U+0020 U+0028 U+0032 U+0029
tuav (1)	<???>	tuav (1)	White Hmong	1	U+0074 U+0075 U+0061 U+0076 U+0020 U+0028 U+0031 U+0029
tw$	tw	pob-tw	White Hmong	1	U+0074 U+0077 U+0024
swb (1)	<???>	swb (1)	White Hmong	1	U+0073 U+0077 U+0062 U+0020 U+0028 U+0031 U+0029
V	<?>	thov Vaj Tswv	White Hmong	1	U+0056
^qhw	qhw	qhwv	White Hmong	1	U+005e U+0071 U+0068 U+0077
tais (2)	<???>	tais (2)	White Hmong	1	U+0074 U+0061 U+0069 U+0073 U+0020 U+0028 U+0032 U+0029
vv	vv	txaj viav-vias	White Hmong	1	U+0076 U+0076
khw	khw	thom khwm	White Hmong	1	U+006b U+0068 U+0077
^Y	<?>	Yawm Saub	White Hmong	1	U+005e U+0059
dab (1)	<???>	dab (1)	White Hmong	1	U+0064 U+0061 U+0062 U+0020 U+0028 U+0031 U+0029
^cw$	cw	cw	White Hmong	1	U+005e U+0063 U+0077 U+0024
sau (2)	<???>	sau (2)	White Hmong	1	U+0073 U+0061 U+0075 U+0020 U+0028 U+0032 U+0029
