Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
ɬišel- (1)	<???>	ɬišel- (1)	Bezhta	1	U+026c U+0069 U+0161 U+0065 U+006c U+002d U+0020 U+0028 U+0031 U+0029
^öh	öh	öhdä-	Bezhta	1	U+005e U+00f6 U+0068
^äᵑh	äᵑh	äᵑheyo	Bezhta	1	U+005e U+00e4 U+1d51 U+0068
hät’t’ö (1)	<???>	hät’t’ö (1)	Bezhta	1	U+0068 U+00e4 U+0074 U+2019 U+0074 U+2019 U+00f6 U+0020 U+0028 U+0031 U+0029
^ī	ī	-īqo-	Bezhta	1	U+005e U+012b
p$	p	pöp	Bezhta	1	U+0070 U+0024
^f	f	ftornik	Bezhta	1	U+005e U+0066
maq’o (1)	<???>	maq’o (1)	Bezhta	1	U+006d U+0061 U+0071 U+2019 U+006f U+0020 U+0028 U+0031 U+0029
ūᵑ	ūᵑ	ɬūᵑs ɣeč’i	Bezhta	1	U+016b U+1d51
cã (1)	<???>	cã (1)	Bezhta	1	U+0063 U+00e3 U+0020 U+0028 U+0031 U+0029
ãc (1)	<???>	ãc (1)	Bezhta	1	U+00e3 U+0063 U+0020 U+0028 U+0031 U+0029
bac’o (2)	<???>	bac’o (2)	Bezhta	1	U+0062 U+0061 U+0063 U+2019 U+006f U+0020 U+0028 U+0032 U+0029
üᵑ$	üᵑ	ɬüᵑ	Bezhta	1	U+00fc U+1d51 U+0024
xx	xx	-ixxo	Bezhta	1	U+0078 U+0078
ss	ss	qusso	Bezhta	1	U+0073 U+0073
ns	ns	insan	Bezhta	1	U+006e U+0073
īs$	īs	dīs	Bezhta	1	U+012b U+0073 U+0024
ȭ	<?>	büwähȭɬi	Bezhta	1	U+022d
īs	īs	ɬīs momola	Bezhta	1	U+012b U+0073
qq	qq	biqqaʔdās mäče	Bezhta	1	U+0071 U+0071
wh	wh	žawhar	Bezhta	1	U+0077 U+0068
ɬs	ɬs	marč’ok’oɬso mex	Bezhta	1	U+026c U+0073
hät’t’ö (2)	<???>	hät’t’ö (2)	Bezhta	1	U+0068 U+00e4 U+0074 U+2019 U+0074 U+2019 U+00f6 U+0020 U+0028 U+0032 U+0029
j	j	pijatnica	Bezhta	1	U+006a
sud (2)	<???>	sud (2)	Bezhta	1	U+0073 U+0075 U+0064 U+0020 U+0028 U+0032 U+0029
sud (1)	<???>	sud (1)	Bezhta	1	U+0073 U+0075 U+0064 U+0020 U+0028 U+0031 U+0029
sĩ (1)	<???>	sĩ (1)	Bezhta	1	U+0073 U+0129 U+0020 U+0028 U+0031 U+0029
üh$	üh	rüh	Bezhta	1	U+00fc U+0068 U+0024
ãc (2)	<???>	ãc (2)	Bezhta	1	U+00e3 U+0063 U+0020 U+0028 U+0032 U+0029
bac’o (1)	<???>	bac’o (1)	Bezhta	1	U+0062 U+0061 U+0063 U+2019 U+006f U+0020 U+0028 U+0031 U+0029
f	f	delfin	Bezhta	1	U+0066
-ĩqo- (1)	<???>	-ĩqo- (1)	Bezhta	1	U+002d U+0129 U+0071 U+006f U+002d U+0020 U+0028 U+0031 U+0029
-ĩqo- (2)	<???>	-ĩqo- (2)	Bezhta	1	U+002d U+0129 U+0071 U+006f U+002d U+0020 U+0028 U+0032 U+0029
ɬišel- (2)	<???>	ɬišel- (2)	Bezhta	1	U+026c U+0069 U+0161 U+0065 U+006c U+002d U+0020 U+0028 U+0032 U+0029
