Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^tr	t				
^kr	k				
^kl	k				
^khr	kʰ				
^khl	kʰ				
^kw	f				
^khw	f				
ia	ia				
ua	ua				
ʉa	ʉa				
áa	áa/aː				
àa	àa/aː				
ìi	ìi/iː				
ùu	ùu/uː				
ʉ̀ʉ	ʉ̀ʉ/ʉː				
íi	íi/iː				
âa	âa/aː				
ə́ə	ə́ə/əː				
èe	èe/eː				
óo	óo/oː				
ɔ̀ɔ	ɔ̀ɔ/ɔː				
ɔ́ɔ	ɔ́ɔ/ɔː				
ûu	ûu/uː				
ɔ̂ɔ	ɔ̂ɔ/ɔː				
òo	òo/oː				
ôo	ôo/oː				
ɔ̌ɔ	ɔ̌ɔ/ɔː				
ée	ée/eː				
ʉ́ʉ	ʉ́ʉ/ʉː				
êe	êe/eː				
ʉ̌ʉ	ʉ̌ʉ/ʉː				
úu	úu/uː				
ə̌ə	ə̌ə/əː				
ə̂ə	ə̂ə/əː				
ə̀ə	ə̀ə/əː				
̌	NULL				
