Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
pp	pː	-su-ppi, su -ppi	Takia	2	U+0070 U+0070
^pp	pː	ppae-, -ppi	Takia	2	U+005e U+0070 U+0070
gs	gs	mala-n sgsig, sgsog	Takia	2	U+0067 U+0073
^-fffu$	+ fː u	-fffu	Takia	1	U+005e U+0066 U+0066 U+0066
^ls	ls	-lsu	Takia	1	U+005e U+006c U+0073
^bw	bʷ	bwab	Takia	1	U+005e U+0062 U+0077
^ts	ts	tsa-	Takia	1	U+005e U+0074 U+0073
ls$	l s	tuls	Takia	1	U+006c U+0073 U+0024
kk	k + k	nal kaek-kaek	Takia	1	U+006b U+006b
B	B/b	holim Baibel	Takia	1	U+0042
ks$	ks	siks	Takia	1	U+006b U+0073 U+0024
nn$	n + n	tnan-n-taman-n	Takia	1	U+006e U+006e U+0024
^i$	i	i	Takia	1	U+005e U+0069 U+0024
^ŋs	ŋs	ŋsa-ŋes	Takia	1	U+005e U+014b U+0073
mm	mː	tdom-mi	Takia	1	U+006d U+006d
^dw	dʷ	dwadaw	Takia	1	U+005e U+0064 U+0077
nw	nʷ	anwil	Takia	1	U+006e U+0077
tt	t + t	-mat-tkali	Takia	1	U+0074 U+0074
^o$	o	o	Takia	1	U+005e U+006f U+0024
kw	kʷ	skwe	Takia	1	U+006b U+0077
^kss	ks + s	kssik -bol	Takia	1	U+005e U+006b U+0073 U+0073
tw	tʷ	-abi-twani	Takia	1	U+0074 U+0077
ŋs$	ŋs	toŋs	Takia	1	U+014b U+0073 U+0024
v$	v	oliv	Takia	1	U+0076 U+0024
^nw	nʷ	nwi	Takia	1	U+005e U+006e U+0077
^a$	a	a	Takia	1	U+005e U+0061 U+0024
