Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL				
_	_	2ʃiŋ 3tuŋ 4tʰuŋ, 3te 4tʰaŋ 1kʰʌ	Manange	319	U+005f
a	a	1aku, 1aŋi	Manange	277	U+0061
^1	<?>	1aku, 1kje	Manange	261	U+005e U+0031
ʌ	ʌ	1tʌntsʌ 2tsʌtsʌ, 4tsʰʌɾ	Manange	235	U+028c
k	k	1aku, 1kje	Manange	217	U+006b
u	u	2ʃiŋ 3tuŋ 4tʰuŋ, kuruŋ	Manange	204	U+0075
j	j	4mjekje, 1kje	Manange	199	U+006a
^2	<?>	2naka, 2tʰa	Manange	196	U+005e U+0032
p	p	2tʰim 1pim-pʌ, 2ta 3pi-tse 3pi	Manange	192	U+0070
o	o	1tʰoŋ 4sol, 1kʰoktoŋ	Manange	184	U+006f
ʌ$	ʌ	1tʌ, 3te 4tʰaŋ 1kʰʌ	Manange	184	U+028c U+0024
i	i	2mi 2mitsʰe, tʃipli tʃipli	Manange	173	U+0069
t	t	1tʌ, tete tete 2tʰa	Manange	168	U+0074
l	l	3kul kul 1lʌ-tse 4pʰro, pʰul 1lʌ	Manange	164	U+006c
ŋ	ŋ	2ʃiŋ 3tuŋ 4tʰuŋ, 1aŋi	Manange	159	U+014b
m	m	2mi 2mitsʰe, 2mome	Manange	155	U+006d
i$	i	1aŋi, 3naŋ=ri	Manange	154	U+0069 U+0024
^3	<?>	3jul, 3naŋ=ri	Manange	151	U+005e U+0033
r	r	3naŋ=ri, =ri	Manange	142	U+0072
ŋ$	ŋ	2ʃiŋ 3tuŋ 4tʰuŋ, 1jaŋ	Manange	136	U+014b U+0024
e	e	tete tete 2tʰa, 3te 4tʰaŋ 1kʰʌ	Manange	133	U+0065
e$	e	1kje, 1ʂe	Manange	126	U+0065 U+0024
^4	<?>	4tsʰʌɾ, 4nu	Manange	116	U+005e U+0034
1	<?>	2kju 1a-tsaŋ-pʌ 1mo 1mu, 1apo 1amo 1a-rʌ-pʌ 1kola	Manange	114	U+0031
a$	a	2naka, 2tʰa	Manange	100	U+0061 U+0024
n	n	3naŋ=ri, 4nu	Manange	98	U+006e
o$	o	2no, ʃoŋto	Manange	87	U+006f U+0024
kʰ	kʰ	4kʰjẽ, 4tʰaŋ 1kʰʌ	Manange	84	U+006b U+02b0
-	<?>	1pʰʌ 1a-rʌ-pʌ, ŋo 2a-ʃi-pʌ 3mi	Manange	79	U+002d
ts	ts	1tʌntsʌ 2tsʌtsʌ, 2tʌ 1tsʌtsʌ	Manange	77	U+0074 U+0073
u$	u	1aku, 1ʈu	Manange	75	U+0075 U+0024
pʰ	pʰ	4pʰɾa, 1pʰja	Manange	65	U+0070 U+02b0
ʃ	ʃ	2ʃoʃo, 2ʃiŋ 3tuŋ 4tʰuŋ	Manange	60	U+0283
2	<?>	1tʌntsʌ 2tsʌtsʌ, 2mi 2mitsʰe	Manange	58	U+0032
s	s	2siŋ hoktoŋ 3sʌ, 1tʰoŋ 4sol	Manange	54	U+0073
tʰ	tʰ	2tʰa, 2ʃiŋ 3tuŋ 4tʰuŋ	Manange	50	U+0074 U+02b0
^k	k	kuɾu, kopʃi	Manange	41	U+005e U+006b
ʈ	ʈ	1ʈu, 2ʈu 2ʈu	Manange	37	U+0288
r$	r	2kor, pʌriwʌr	Manange	37	U+0072 U+0024
tʃ	tʃ	1atʃuŋ, 3mi tʃotʃe to-pʌ	Manange	36	U+0074 U+0283
3	<?>	2ta 3pi-tse 3pi, 2ʃiŋ 3tuŋ 4tʰuŋ	Manange	34	U+0033
ẽ$	ẽ	4kʰjẽ, 1mẽ	Manange	33	U+1ebd U+0024
l$	l	3jul, 1tʰoŋ 4sol	Manange	30	U+006c U+0024
tsʰ	tsʰ	4tsʰʌɾ, 2tsʰe 2tsʰe	Manange	27	U+0074 U+0073 U+02b0
=	<?>	3naŋ=ri, 2pʰi=ri	Manange	27	U+003d
ĩ$	ĩ	2tʃʰĩ, 2prĩ	Manange	25	U+0129 U+0024
^t	t	tuk 1tʌ-pʌ 1kʰʌ, tela	Manange	25	U+005e U+0074
4	<?>	3mi 4pʰro-pʌ 4kʰjẽ, 2ʃiŋ 3tuŋ 4tʰuŋ	Manange	24	U+0034
^p	p	pʌte 1kʰʌ, pʌriwʌr	Manange	24	U+005e U+0070
tʃʰ	tʃʰ	2tʃʰe, 3tʃʰupi	Manange	24	U+0074 U+0283 U+02b0
^m	m	ma, mukpʌ	Manange	23	U+005e U+006d
ɾ	ɾ	kuɾu, 4pʰɾa	Manange	21	U+027e
ʂ	ʂ	1ʂe, 2ʂi-pʌ	Manange	17	U+0282
^n	n	na na, niʈi	Manange	16	U+005e U+006e
^s	s	sjʌu, sʌ pʌlsʌŋ	Manange	14	U+005e U+0073
^ʃ	ʃ	ʃoŋto, ʃukri	Manange	14	U+005e U+0283
mʷ	mʷ	4mʷi 1nje-pʌ, 3pʌle 2mʷe	Manange	14	U+006d U+02b7
^kʰ	kʰ	kʰʌnʈi, kʰuku nantʃuŋ	Manange	14	U+005e U+006b U+02b0
^pʰ	pʰ	pʰesʌr, pʰja	Manange	11	U+005e U+0070 U+02b0
^l	l	labul 1kʰʌ-tsi, laŋtẽ	Manange	11	U+005e U+006c
h	h	tsihan, sʌ hlakpʌ	Manange	11	U+0068
^tʰ	tʰ	tʰi, tʰʌ-tse jʌ	Manange	10	U+005e U+0074 U+02b0
^tʃ	tʃ	tʃã, tʃuɾpe	Manange	9	U+005e U+0074 U+0283
p$	p	moʈʌr dʒip, paip	Manange	7	U+0070 U+0024
^ts	ts	tsʌ, tsihan	Manange	7	U+005e U+0074 U+0073
^r	r	rok 2ti, rel	Manange	7	U+005e U+0072
^j	j	ja kʰupʌ, jʌlka	Manange	7	U+005e U+006a
^a	a	alo suntala, ajĩ	Manange	7	U+005e U+0061
^h	h	ho, huɲi	Manange	6	U+005e U+0068
ɾ$	ɾ	4tsʰʌɾ, 2sʌɾ	Manange	6	U+027e U+0024
^tʃʰ	tʃʰ	tʃʰortẽ, tʃʰor ko	Manange	6	U+005e U+0074 U+0283 U+02b0
^kʷ	kʷ	kʷemi, kʷopʌ	Manange	6	U+005e U+006b U+02b7
^ŋ	ŋ	ŋjetse 1ŋima, ŋjʌle	Manange	5	U+005e U+014b
m$	m	3molʌm, tim	Manange	5	U+006d U+0024
1kʰi (1)	<???>	1kʰi (1)	Manange	5	U+0031 U+006b U+02b0 U+0069 U+0020 U+0028 U+0031 U+0029
ɲ	ɲ	1ɲe, 2ɲaŋ	Manange	4	U+0272
w	w	hawa tʃansa, pʌriwʌr	Manange	4	U+0077
t$	t	plet, atsiŋkʌt	Manange	4	U+0074 U+0024
k$	k	ʃilik, 3tsok	Manange	4	U+006b U+0024
^tsʰ	tsʰ	tsʰu-pʌ ʃe 1mo, tsʰimpʌ	Manange	4	U+005e U+0074 U+0073 U+02b0
1pʰi (1)	<???>	1pʰi (1)	Manange	4	U+0031 U+0070 U+02b0 U+0069 U+0020 U+0028 U+0031 U+0029
^ʂ	ʂ	ʂuŋ, ʂupʌl	Manange	4	U+005e U+0282
kʷʰ	kʷʰ	4kʷʰe 2pɾĩ, 4kʷʰe 2napraŋ 3tsaŋ	Manange	3	U+006b U+02b7 U+02b0
ẽ	ẽ	4mẽ kʰuju, 1pʰo thẽ 1ʈu	Manange	3	U+1ebd
^b	b	bijuli, boʈʌl	Manange	3	U+005e U+0062
^=	<?>	=ri, =juŋ	Manange	3	U+005e U+003d
tt	tt	2pʰuŋ 2kʌtti, 2kʌtti 1lʌ	Manange	3	U+0074 U+0074
ʈʰ	ʈʰ	1ʈʰaʈe, koʈʰa	Manange	3	U+0288 U+02b0
kʷ	kʷ	4kakor 2kʷol, 2kʷe	Manange	3	U+006b U+02b7
z	z	tzomliŋ, 2sez 1lʌ	Manange	3	U+007a
