Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
´h$	´h/h	tæ̃´h, tɔ̃´h	Hup	12	U+00b4 U+0068 U+0024
ɔ́$	ɔ́/ɔ	wædhɔ́, mɔyɔ́	Hup	12	U+0254 U+0301 U+0024
ě	ě/e	těg, pěʔ	Hup	11	U+011b
ˇ	NULL	hũˇyʔah, hũˇt	Hup	10	U+02c7
j$	ɟ	g’ɔ̃´j, tǒj	Hup	8	U+006a U+0024
á$	á/a	pá, kadawá	Hup	8	U+00e1 U+0024
ó$	ó/o	tohó, kedó	Hup	8	U+00f3 U+0024
ˇh$	ˇh/h	hũˇh, cɔ̃wɔ̃ˇh	Hup	8	U+02c7 U+0068 U+0024
ǐ	ǐ/i	tiyǐʔ, j’ǐb-cud	Hup	8	U+01d0
ˇh	ˇh/h	yɔ̃ˇhʔãy, hɔ̃ˇh pɨ́b	Hup	8	U+02c7 U+0068
dh	dh	wædhɔ́, wædhɔm’æ̌h	Hup	7	U+0064 U+0068
ǽ$	ǽ/æ	hɨ̃m’ǽ, wɔ̃ʔdǽ	Hup	7	U+01fd U+0024
ŋ	ŋ	haŋcɔw-, hæ̌ŋyɨʔ	Hup	7	U+014b
óh$	ó/o h	póh, g’ætd’óh	Hup	6	U+00f3 U+0068 U+0024
´w’$	´w’/w’	peyã´w, mutã´w	Hup	6	U+00b4 U+0077 U+0024
hw	h + w	cĩhwɨʔ-, tɨhwǝhə́d	Hup	6	U+0068 U+0077
ǐh$	ǐ/i h	tǐh, cǐh	Hup	6	U+01d0 U+0068 U+0024
ú$	ú/u	dú, puhú	Hup	6	U+00fa U+0024
o$	o	hidoho-, karendário	Hup	6	U+006f U+0024
ǎh$	ǎ/a h	tǎh	Hup	6	U+01ce U+0068 U+0024
ěh$	ě/e h	děh, puděh	Hup	5	U+011b U+0068 U+0024
ǔh$	ǔ/u h	nunǔh, mǔh	Hup	5	U+01d4 U+0068 U+0024
ɔ$	ɔ	tæ̃ʔnɔ-, nɔ-	Hup	4	U+0254 U+0024
gh	g + h	teghɔ̃´, těghod	Hup	4	U+0067 U+0068
ʔw’	ʔ + w’	wɨʔwɨʔ-, b’ɔʔwæ̌d	Hup	4	U+0294 U+0077
e$	e	ye-, de-	Hup	4	U+0065 U+0024
ěh	ě/e h	děh m’ǽ, děh mɔy	Hup	4	U+011b U+0068
mh	m + h	yamhĩdɔʔ-, hamhũynɨ́h	Hup	4	U+006d U+0068
ɔ̃$	ɔ̃	teg hɔ̃, teghɔ̃-	Hup	4	U+0254 U+0303 U+0024
ów	ó/o w	cówag	Hup	4	U+00f3 U+0077
æ$	æ	bɨʔnæ-, tɨhdóʔ tæ	Hup	4	U+00e6 U+0024
ɨ́$	ɨ́/ɨ	g’ɨ́, bɨ́	Hup	4	U+0268 U+0301 U+0024
´$	NULL	hũ´, teghɔ̃´	Hup	3	U+00b4 U+0024
´w	´w/w	hã´wɨg, hɔ̃´w’	Hup	3	U+00b4 U+0077
é$	é/e	boné, ké	Hup	3	U+00e9 U+0024
ǎh	ǎ/a h	tǎh wæ̌dhɔb, tǎh mɔy	Hup	3	U+01ce U+0068
ǐh	ǐ/i h	wǐh g’æg, cǐh hə́b	Hup	2	U+01d0 U+0068
v	v	tedevicãw, cervéca	Hup	2	U+0076
^kw	kw	kwádru, kwátawag	Hup	2	U+005e U+006b U+0077
yy	j + j	payyɨʔ-, wayyæ̃h-	Hup	2	U+0079 U+0079
ç	ç	pǎç mɔy, paç náŋ	Hup	2	U+00e7
´h	´h/h	hũtæ̃´h pã´t, tæ̃´h-yud	Hup	2	U+00b4 U+0068
hh	h + h	ʔɨd d’ǝhd’ǝhhámteg, tegd’uhhɔ̃ˇk	Hup	2	U+0068 U+0068
^v	v	vedúra, vĩ´ci	Hup	2	U+005e U+0076
í$	í/i	dehmí, hibab’ní	Hup	2	U+00ed U+0024
ěw$	ě/e w	cecěw, wɔhwěw	Hup	2	U+011b U+0077 U+0024
ʔh	ʔ + h	bɨʔhitam-, wɨʔhamd’ə̌hteg	Hup	2	U+0294 U+0068
ãˇ$	ãˇ/ã	pãˇ	Hup	1	U+02c7 U+0024
kk	k + k	b’ɔkkáb	Hup	1	U+006b U+006b
ǽw$	ǽ/æ w	-pæcǽw	Hup	1	U+01fd U+0077 U+0024
ɨ$	ɨ	nɨ-	Hup	1	U+0268 U+0024
éw$	é/e w	koyéw	Hup	1	U+00e9 U+0077 U+0024
ũ$	ũ	hicũ-	Hup	1	U+0169 U+0024
ŋw	ŋ + w	pɨnɨŋwɨ̌ʔ	Hup	1	U+014b U+0077
õ	õ	ʔõ´ci	Hup	1	U+00f5
ñ	ñ	gaña-	Hup	1	U+00f1
ˇhw	ˇh/h w	yɔ̃ˇhwɨg	Hup	1	U+02c7 U+0068 U+0077
ẽ	ẽ	cẽ´	Hup	1	U+1ebd
ǔw$	ǔ/u w	ʔǔw	Hup	1	U+01d4 U+0077 U+0024
ǐw$	ǐ/i w	biyǐw	Hup	1	U+01d0 U+0077 U+0024
ǎw$	ǎ/a w	tǎw	Hup	1	U+01ce U+0077 U+0024
nh	n h	ʔinhã´ç	Hup	1	U+006e U+0068
ǔh	ǔ/u h	mǔhteg	Hup	1	U+01d4 U+0068
cc	c + c	caccǔd	Hup	1	U+0063 U+0063
ph	p + h	huphipãˇh	Hup	1	U+0070 U+0068
pw	p + w	hatípwɨg	Hup	1	U+0070 U+0077
kw’	k w’	cɔkw’ə́t	Hup	1	U+006b U+0077
ã$	ã	macã-	Hup	1	U+00e3 U+0024
ww	w + w	tǝwway-	Hup	1	U+0077 U+0077
bw	b w	tábwab’ah	Hup	1	U+0062 U+0077
ów’$	ó/o w’				
^p’	p’				
ǽ	ǽ/æ				
