Grapheme	IPA	Languages
^bottle$	b ɒ t l̩	English
^bottom$	b ɒ t ə m	English
^boundary$	b aʊ n d ə r ɪ	English
^bow$	b aʊ b əʊ	English
^bowl$	b əʊ l	English
^boy$	b ɔɪ	English
^bracelet$	b r eɪ s l ɪ t	English
^brackish$	b r æ k ɪ ʃ	English
^braid$	b r eɪ d	English
^brain$	b r eɪ n	English
^brake$	b r eɪ k	English
^branch$	b r ɑː n tʃ	English
^brave$	b r eɪ v	English
^bread$	b r ɛ d	English
^break$	b r eɪ k	English
^breakfast$	b r ɛ k f ə s t	English
^breast$	b r ɛ s t	English
^breathe$	b r iː ð	English
^brick$	b r ɪ k	English
^bridge$	b r ɪ dʒ	English
^bright$	b r aɪ t	English
^bring$	b r ɪ ŋ	English
^broken$	b r əʊ k ə n	English
^broom$	b r uː m	English
^brother$	b r ʌ ð ə ɹ	English
^bruise$	b r uː z	English
^brush$	b r ʌ ʃ	English
^buffalo$	b ʌ f ə l əʊ	English
^build$	b ɪ l d	English
^bull$	b ʊ l	English
^bunch$	b ʌ n tʃ	English
^burn$	b ɜː n	English
^bury$	b ɛ r ɪ	English
^bus$	b ʌ s	English
^butter$	b ʌ t ə ɹ	English
^butterfly$	b ʌ t ə f l aɪ	English
^buttocks$	b ʌ t ə k s	English
^button$	b ʌ t n̩	English
^buy$	b aɪ	English
^calendar$	k æ l ɪ n d ə ɹ	English
^calf$	k ɑː f	English
^call (1)$	k ɔː l	English
^call (2)$	k ɔː l	English
^calm$	k ɑː m	English
^camel$	k æ m l̩	English
^camp$	k æ m p	English
^candle$	k æ n d l̩	English
^canoe$	k ə n uː	English
^cap$	k æ p	English
^cape$	k eɪ p	English
^captive$	k æ p t ɪ v	English
^car$	k ɑː ɹ	English
^carcass$	k ɑː k ə s	English
^caribou$	k æ r ɪ b uː	English
^carpenter$	k ɑː p ə n t ə ɹ	English
^carpet$	k ɑː p ɪ t	English
^carry$	k æ r ɪ	English
^cart$	k ɑː t	English
^carve$	k ɑː v	English
^cassava$	k ə s ɑː v ə	English
^cast$	k ɑː s t	English
^castle$	k ɑː s l̩	English
^cat$	k æ t	English
^catch$	k æ tʃ	English
^cattle$	k æ t l̩	English
^cause$	k ɔː z	English
^cave$	k eɪ v	English
^cease$	s iː s	English
^centipede$	s ɛ n t ɪ p iː d	English
^certain$	s ɜː t n̩	English
^chain$	tʃ eɪ n	English
^chair$	tʃ ɛə ɹ	English
^chameleon$	k ə m iː l j ə n	English
^change$	tʃ eɪ n dʒ	English
^charcoal$	tʃ ɑː k əʊ l	English
^chase$	tʃ eɪ s	English
^cheap$	tʃ iː p	English
^cheek$	tʃ iː k	English
^cheese$	tʃ iː z	English
^chest$	tʃ ɛ s t	English
^chew$	tʃ uː	English
^chicken$	tʃ ɪ k ɪ n	English
^chieftain$	tʃ iː f t ə n	English
^child$	tʃ aɪ l d	English
^chili (pepper)$	???	English
^chimney$	tʃ ɪ m n ɪ	English
^chin$	tʃ ɪ n	English
^chisel$	tʃ ɪ z l̩	English
^choke$	tʃ əʊ k	English
^choose$	tʃ uː z	English
^chop$	tʃ ɒ p	English
^church$	tʃ ɜː tʃ	English
^cigarette$	s ɪ ɡ ə r ɛ t	English
^circle$	s ɜː k l̩	English
^circumcision$	s ɜː k ə m s ɪ ʒ n̩	English
^citizen$	s ɪ t ɪ z n̩	English
^citrus$	s ɪ t r ə s	English
^city$	s ɪ t ɪ	English
^clan$	k l æ n	English
^claw$	k l ɔː	English
^clay$	k l eɪ	English
^clean$	k l iː n	English
^clear$	k l ɪə ɹ	English
^clever$	k l ɛ v ə ɹ	English
^cliff$	k l ɪ f	English
^climb$	k l aɪ m	English
^cloak$	k l əʊ k	English
^clock$	k l ɒ k	English
^close$	k l əʊ z k l əʊ s	English
^cloth$	k l ɒ θ	English
^clothes$	k l əʊ ð z	English
^cloud$	k l aʊ d	English
^club$	k l ʌ b	English
^coat$	k əʊ t	English
^cock$	k ɒ k	English
^cockroach$	k ɒ k r əʊ tʃ	English
^coconut$	k əʊ k ə n ʌ t	English
^coffee$	k ɒ f ɪ	English
^coin$	k ɔɪ n	English
^cold$	k əʊ l d	English
^collar$	k ɒ l ə ɹ	English
^collarbone$	k ɒ l ə b əʊ n	English
^collect$	k ɒ l ɛ k t k ə l ɛ k t	English
^colour$	k ʌ l ə ɹ	English
^colt$	k əʊ l t	English
^comb$	k əʊ m	English
^come$	k ʌ m	English
^come back$	k ʌ m b æ k	English
^command$	k ə m ɑː n d	English
^conceive$	k ə n s iː v	English
^condemn$	k ə n d ɛ m	English
^cone$	k əʊ n	English
^convict$	k ɒ n v ɪ k t k ə n v ɪ k t	English
^cook$	k ʊ k	English
^cooked$	k ʊ k t	English
^copper$	k ɒ p ə ɹ	English
^copulate$	k ɒ p j ʊ l eɪ t	English
^cormorant$	k ɔː m ə r ə n t	English
^corn$	k ɔː n	English
^corner$	k ɔː n ə ɹ	English
^corpse$	k ɔː p s	English
^cotton$	k ɒ t n̩	English
^cough$	k ɒ f	English
^count$	k aʊ n t	English
^country$	k ʌ n t r ɪ	English
^court$	k ɔː t	English
^cousin$	k ʌ z n̩	English
^cover$	k ʌ v ə ɹ	English
^cow$	k aʊ	English
^coyote$	k ɔɪ əʊ t ɪ	English
^crawl$	k r ɔː l	English
^crime$	k r aɪ m	English
^crocodile$	k r ɒ k ə d aɪ l	English
^crooked$	k r ʊ k ɪ d k r ʊ k t	English
^cross$	k r ɒ s	English
^crouch$	k r aʊ tʃ	English
^crow$	k r əʊ	English
^crowd$	k r aʊ d	English
^crush$	k r ʌ ʃ	English
^cry$	k r aɪ	English
^cultivate$	k ʌ l t ɪ v eɪ t	English
^cup$	k ʌ p	English
^cure$	k j ʊə ɹ k j ʊə r eɪ	English
^curse$	k ɜː s	English
^custom$	k ʌ s t ə m	English
^cut$	k ʌ t	English
^damage$	d æ m ɪ dʒ	English
^dance$	d ɑː n s	English
^dandruff$	d æ n d r ʌ f	English
^danger$	d eɪ n dʒ ə ɹ	English
^dare$	d ɛə ɹ	English
^dark$	d ɑː k	English
^darkness$	d ɑː k n ɪ s	English
^daughter$	d ɔː t ə ɹ	English
^daughter-in-law$	d ɔː t ə r ɪ n l ɔː	English
^dawn$	d ɔː n	English
^day$	d eɪ	English
^dead$	d ɛ d	English
^deaf$	d ɛ f	English
^debt$	d ɛ t	English
^deceit$	d ɪ s iː t	English
^deep$	d iː p	English
^deer$	d ɪə ɹ	English
^defeat$	d ɪ f iː t	English
^defecate$	d ɛ f ə k eɪ t	English
^defend$	d ɪ f ɛ n d	English
^defendant$	d ɪ f ɛ n d ə n t	English
^demon$	d iː m ə n	English
^deny$	d ɪ n aɪ	English
^descendant$	d ɪ s ɛ n d ə n t	English
^destroy$	d ɪ s t r ɔɪ	English
^devil$	d ɛ v l̩	English
^dew$	d j uː	English
^die$	d aɪ	English
^difficult$	d ɪ f ɪ k ə l t	English
^dig$	d ɪ ɡ	English
