Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
ll$	lː	kīll, mūrr-ɨll	Kildin Saami	20	U+006c U+006c U+0024
xx	xː	ōxxte, axxc	Kildin Saami	19	U+0078 U+0078
jj$	jː	sījj, tujj	Kildin Saami	19	U+006a U+006a U+0024
^ā	ā/aː	ājjev, āka	Kildin Saami	18	U+005e U+0101
šš$	ʃː	vuejjhtemušš, toavvrešš	Kildin Saami	17	U+0161 U+0161 U+0024
c$	tʃ	kēnnc, pierec	Kildin Saami	16	U+0063 U+0024
āh	ā/aː h	kāht’e, kūll’-sāhp’	Kildin Saami	15	U+0101 U+0068
pp	pː	app’se, kɨpp’tma	Kildin Saami	14	U+0070 U+0070
š$	ʃ	vājvaš, tajaš	Kildin Saami	14	U+0161 U+0024
tt	tː	jorhttelle, roattkje	Kildin Saami	13	U+0074 U+0074
č$	tʃ	pārnenč, vuennč	Kildin Saami	13	U+010d U+0024
ss$	sː	kūss, niŋŋless	Kildin Saami	12	U+0073 U+0073 U+0024
āss’	ā/aː sː’	rāss’, kāssv-koahtess	Kildin Saami	12	U+0101 U+0073 U+0073
llh	l̥ː	kāllht, tollhk	Kildin Saami	12	U+006c U+0068
jjh	j̊ː	kɨjjhm, vuejjhtemušš	Kildin Saami	11	U+006a U+0068
f	f	eftnalšem, kōfe	Kildin Saami	11	U+0066
é	é/e	pl’eménihk, gaz’ét	Kildin Saami	11	U+00e9
^ē	ē/eː	ēxxte, ēllmannt	Kildin Saami	11	U+005e U+0113
^ɨ	ɨ	ɨllpe, ɨgk’	Kildin Saami	10	U+005e U+0268
^b	b	baŋŋk, būb’en	Kildin Saami	10	U+005e U+0062
kk	kː	oakkše, tuarr-oakkš	Kildin Saami	10	U+006b U+006b
ŋ	ŋ	keŋgurú, āhkliŋk	Kildin Saami	10	U+014b
cc	tsː	kēccke, njūcck	Kildin Saami	9	U+0063 U+0063
^u	u	ujjte, uc’ne	Kildin Saami	9	U+005e U+0075
^e	e	eftnalšem, ele	Kildin Saami	8	U+005e U+0065
е$	е	kɨšškе, nаl’xuvvе	Kildin Saami	8	U+0435 U+0024
d$	d	pojezd, vierbl’ud	Kildin Saami	8	U+0064 U+0024
í	í/i	pravít’el’stva, minístr	Kildin Saami	8	U+00ed
x$	x	koččex, soaltex	Kildin Saami	8	U+0078 U+0024
vv$	vː	vɨvv, jāvv	Kildin Saami	8	U+0076 U+0076 U+0024
а	а	njealjаnt-piejjv, tavv’аl	Kildin Saami	8	U+0430
ʒ	dz	pieʒ’, čūʒlemušš	Kildin Saami	8	U+0292
á	á/a	kal’endár’, plasmás	Kildin Saami	7	U+00e1
^z	z	zeaht’, zierkal	Kildin Saami	7	U+005e U+007a
ǯ	dʒ	vīǯe, paǯe	Kildin Saami	7	U+01ef
čč	tʃː	pɨččker, koččex	Kildin Saami	7	U+010d U+010d
^ī	ī/iː	īŋŋk, īvvče	Kildin Saami	5	U+005e U+012b
ž	ʒ	moažant, viež’ar	Kildin Saami	5	U+017e
mm$	mː	limm, nēmm	Kildin Saami	5	U+006d U+006d U+0024
fs$	f s	sefs, puffs	Kildin Saami	5	U+0066 U+0073 U+0024
ó	ó/o	kajót, maniók	Kildin Saami	5	U+00f3
ōh	ō/oː h	lōhk, čōhke	Kildin Saami	5	U+014d U+0068
е	е	vuеll’k-taхх’t, kuarrеj	Kildin Saami	5	U+0435
^āh	ā/aː h	āhk’, āhkev	Kildin Saami	5	U+005e U+0101 U+0068
ff	fː	kōffke, vūffp	Kildin Saami	5	U+0066 U+0066
^ō	ō/oː	ōxxte, ōllk	Kildin Saami	4	U+005e U+014d
ú	ú/u	avtobúss, kukurúza	Kildin Saami	4	U+00fa
^i	i	instrum’ént, imm’el’-sānn’	Kildin Saami	4	U+005e U+0069
ŋŋ$	ŋː	šēŋŋ, īŋŋ	Kildin Saami	3	U+014b U+014b U+0024
^x	x	xozjen’, xam’el’ón	Kildin Saami	3	U+005e U+0078
^g	g	gaz’ét, guejke	Kildin Saami	3	U+005e U+0067
^f	f	fīga, fassel’	Kildin Saami	3	U+005e U+0066
ǯ$	dʒ	kieǯ, aǯ	Kildin Saami	3	U+01ef U+0024
rs	r s	puarsa vuerr’pen’, puarsa vīllj	Kildin Saami	3	U+0072 U+0073
g$	g	bumeraŋg, šig	Kildin Saami	3	U+0067 U+0024
ns	n s	lājnse, moajnse	Kildin Saami	3	U+006e U+0073
ēh	ē/eː h	kēhče, šlēhkle	Kildin Saami	3	U+0113 U+0068
ks$	k s	ukks, jūkks	Kildin Saami	3	U+006b U+0073 U+0024
^ž	ʒ 	žɨva, žoarr	Kildin Saami	3	U+005e U+017e
dd	dː	ladd’v, kiedd’k	Kildin Saami	3	U+0064 U+0064
o$	o	što, pončo	Kildin Saami	3	U+006f U+0024
z$	z	sɨz, puaz	Kildin Saami	3	U+007a U+0024
^ōh	ō/oː h	ōhpnuvve, ōhpnuvvej	Kildin Saami	3	U+005e U+014d U+0068
ɨ$	ɨ	vilɨ, vɨborɨ	Kildin Saami	2	U+0268 U+0024
āss$	ā/aː sː	čāss	Kildin Saami	2	U+0101 U+0073 U+0073 U+0024
b$	b	koab, kōrreb	Kildin Saami	2	U+0062 U+0024
ff$	fː	joaff, lieff	Kildin Saami	2	U+0066 U+0066 U+0024
ls	l s	kielsellemušš, kielselle	Kildin Saami	2	U+006c U+0073
^d	d	dvīgat’el’, dača	Kildin Saami	2	U+005e U+0064
ps	p s	rūppse, lūpste	Kildin Saami	2	U+0070 U+0073
nnh	n̥ː	vɨnnht, riennh’k	Kildin Saami	2	U+006e U+0068
á$	á/a	m’eds’estrá, pravá	Kildin Saami	2	U+00e1 U+0024
а$	а	jēb’eš’-alkа, pērrht-ēll’а	Kildin Saami	2	U+0430 U+0024
īh	ī/iː h	mīhk’, kīhče	Kildin Saami	2	U+012b U+0068
^=	+	#NAME?	Kildin Saami	1	U+005e U+003d
о	o	pоаfčas	Kildin Saami	1	U+043e
ps$	p s	aps	Kildin Saami	1	U+0070 U+0073 U+0024
^e$	e	e-	Kildin Saami	1	U+005e U+0065 U+0024
ё	ɤ	kijje mill’te ёadte	Kildin Saami	1	U+0451
ī$	ī/iː	mī	Kildin Saami	1	U+012b U+0024
ɨ̄	ɨ̄	pɨ̄nnej	Kildin Saami	1	U+0268 U+0304
ēss$	ē/eː sː	kēss	Kildin Saami	1	U+0113 U+0073 U+0073 U+0024
^ōʒ	ō/oː dz	ōʒe	Kildin Saami	1	U+005e U+014d U+0292
ós$	ó/o s	kokós	Kildin Saami	1	U+00f3 U+0073 U+0024
fs	f s	voafsxess	Kildin Saami	1	U+0066 U+0073
ž$	ʒ 	māk’semuž	Kildin Saami	1	U+017e U+0024
cc$	tʃː	kūcc	Kildin Saami	1	U+0063 U+0063 U+0024
^е	е	-еn’	Kildin Saami	1	U+005e U+0435
ōss$	ō/oː sː	kōss	Kildin Saami	1	U+014d U+0073 U+0073 U+0024
ns$	n s	vens	Kildin Saami	1	U+006e U+0073 U+0024
â	â/a	ellân	Kildin Saami	1	U+00e2
ú$	ú/u	keŋgurú	Kildin Saami	1	U+00fa U+0024
ē$	ē/eː	kē	Kildin Saami	1	U+0113 U+0024
^ū	ū/uː	ūdles’	Kildin Saami	1	U+005e U+016b
aa	a + a	koaza-alka	Kildin Saami	1	U+0061 U+0061
ks	k s	saf’kse	Kildin Saami	1	U+006b U+0073
ts	ts	kūdtselle	Kildin Saami	1	U+0074 U+0073
pp$	pː	sipp	Kildin Saami	1	U+0070 U+0070 U+0024
ēʒ$	ē/eː dz	vēʒ	Kildin Saami	1	U+0113 U+0292 U+0024
bb	bː	ābb’r	Kildin Saami	1	U+0062 U+0062
^a$	a	a	Kildin Saami	1	U+005e U+0061 U+0024
īss$	ī/iː sː	rīss	Kildin Saami	1	U+012b U+0073 U+0073 U+0024
rrh$	r̥ː	šērrh	Kildin Saami	1	U+0072 U+0068 U+0024
ʒ$	dz	cɨʒ	Kildin Saami	1	U+0292 U+0024
ll’	lː’				
nn'	nːʲ				
^jērrh’t-tāxx’t$	j ē/eː r̥ːʲ t + t ā/aː xːʲ t				
^tāxx’t$	t ā/aː xːʲ t				
е	е/e				
а	а/a				
е$	е/e				
а$	а/a				
