Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
grosmuter(ka)	<???>	grosmuter(ka)	Lower Sorbian	1	U+0067 U+0072 U+006f U+0073 U+006d U+0075 U+0074 U+0065 U+0072 U+0028 U+006b U+0061 U+0029
pšawy (2)	<???>	pšawy (2)	Lower Sorbian	1	U+0070 U+0161 U+0061 U+0077 U+0079 U+0020 U+0028 U+0032 U+0029
lapka (na woku)	<???>	lapka (na woku)	Lower Sorbian	1	U+006c U+0061 U+0070 U+006b U+0061 U+0020 U+0028 U+006e U+0061 U+0020 U+0077 U+006f U+006b U+0075 U+0029
(wuchowa) lapka	<???>	(wuchowa) lapka	Lower Sorbian	1	U+0028 U+0077 U+0075 U+0063 U+0068 U+006f U+0077 U+0061 U+0029 U+0020 U+006c U+0061 U+0070 U+006b U+0061
chw	chw	pśechwatany	Lower Sorbian	1	U+0063 U+0068 U+0077
kwět(k)	<???>	kwět(k)	Lower Sorbian	1	U+006b U+0077 U+011b U+0074 U+0028 U+006b U+0029
bw	bw	wobwóco	Lower Sorbian	1	U+0062 U+0077
bom(j)elwałma	<???>	bom(j)elwałma	Lower Sorbian	1	U+0062 U+006f U+006d U+0028 U+006a U+0029 U+0065 U+006c U+0077 U+0061 U+0142 U+006d U+0061
pśistajiś (2)	<???>	pśistajiś (2)	Lower Sorbian	1	U+0070 U+015b U+0069 U+0073 U+0074 U+0061 U+006a U+0069 U+015b U+0020 U+0028 U+0032 U+0029
ryś (1)	<???>	ryś (1)	Lower Sorbian	1	U+0072 U+0079 U+015b U+0020 U+0028 U+0031 U+0029
pław(nja)	<???>	pław(nja)	Lower Sorbian	1	U+0070 U+0142 U+0061 U+0077 U+0028 U+006e U+006a U+0061 U+0029
fs	fs	štifsyn	Lower Sorbian	1	U+0066 U+0073
(wó)ženjony	<???>	(wó)ženjony	Lower Sorbian	1	U+0028 U+0077 U+00f3 U+0029 U+017e U+0065 U+006e U+006a U+006f U+006e U+0079
ff$	ff	riff	Lower Sorbian	1	U+0066 U+0066 U+0024
dojś (1)	<???>	dojś (1)	Lower Sorbian	1	U+0064 U+006f U+006a U+015b U+0020 U+0028 U+0031 U+0029
taług (z wucha)	<???>	taług (z wucha)	Lower Sorbian	1	U+0074 U+0061 U+0142 U+0075 U+0067 U+0020 U+0028 U+007a U+0020 U+0077 U+0075 U+0063 U+0068 U+0061 U+0029
^č	č	čaj	Lower Sorbian	1	U+005e U+010d
nic (2)	<???>	nic (2)	Lower Sorbian	1	U+006e U+0069 U+0063 U+0020 U+0028 U+0032 U+0029
pór (1)	<???>	pór (1)	Lower Sorbian	1	U+0070 U+00f3 U+0072 U+0020 U+0028 U+0031 U+0029
zmakaś (se)	<???>	zmakaś (se)	Lower Sorbian	1	U+007a U+006d U+0061 U+006b U+0061 U+015b U+0020 U+0028 U+0073 U+0065 U+0029
rjeśazk (wokoło šyje)	<???>	rjeśazk (wokoło šyje)	Lower Sorbian	1	U+0072 U+006a U+0065 U+015b U+0061 U+007a U+006b U+0020 U+0028 U+0077 U+006f U+006b U+006f U+0142 U+006f U+0020 U+0161 U+0079 U+006a U+0065 U+0029
