Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
maak (2)	<???>	maak (2)	Q'eqchi'	1	U+006d U+0061 U+0061 U+006b U+0020 U+0028 U+0032 U+0029
'x$	'x	paapa'x	Q'eqchi'	1	U+0027 U+0078 U+0024
aq (2)	<???>	aq (2)	Q'eqchi'	1	U+0061 U+0071 U+0020 U+0028 U+0032 U+0029
ts	ts	ch’och’ sutsu chi ha’	Q'eqchi'	1	U+0074 U+0073
qs$	qs	poqs	Q'eqchi'	1	U+0071 U+0073 U+0024
^xw	xw	xwah kar	Q'eqchi'	1	U+005e U+0078 U+0077
xik (1)	<???>	xik (1)	Q'eqchi'	1	U+0078 U+0069 U+006b U+0020 U+0028 U+0031 U+0029
'h	'h	hech'hotk	Q'eqchi'	1	U+0027 U+0068
rw	rw	serwees	Q'eqchi'	1	U+0072 U+0077
ls$	ls	miercools	Q'eqchi'	1	U+006c U+0073 U+0024
g$	g	testiig	Q'eqchi'	1	U+0067 U+0024
^d	d	domiin	Q'eqchi'	1	U+005e U+0064
aq (1)	<???>	aq (1)	Q'eqchi'	1	U+0061 U+0071 U+0020 U+0028 U+0031 U+0029
triiw (1)	<???>	triiw (1)	Q'eqchi'	1	U+0074 U+0072 U+0069 U+0069 U+0077 U+0020 U+0028 U+0031 U+0029
js	js	q'ajsink	Q'eqchi'	1	U+006a U+0073
chh	chh	puchha'	Q'eqchi'	1	U+0063 U+0068 U+0068
-	<?>	aj-lab'aal kutan	Q'eqchi'	1	U+002d
nh	nh	k’anha’	Q'eqchi'	1	U+006e U+0068
^pw	pw	pwerta	Q'eqchi'	1	U+005e U+0070 U+0077
'u'u	'u'u	uutz'u'uj	Q'eqchi'	1	U+0027 U+0075 U+0027 U+0075
toj (2)	<???>	toj (2)	Q'eqchi'	1	U+0074 U+006f U+006a U+0020 U+0028 U+0032 U+0029
nn	nn	inna’ inyuwa’	Q'eqchi'	1	U+006e U+006e
lh	lh	b’oolha’	Q'eqchi'	1	U+006c U+0068
qs	qs	b'aqsotz'	Q'eqchi'	1	U+0071 U+0073
toj (1)	<???>	toj (1)	Q'eqchi'	1	U+0074 U+006f U+006a U+0020 U+0028 U+0031 U+0029
aj am ~ x’am	<???>	aj am ~ x’am	Q'eqchi'	1	U+0061 U+006a U+0020 U+0061 U+006d U+0020 U+007e U+0020 U+0078 U+2019 U+0061 U+006d
