Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
k$	k	sheik	Swahili	1	U+006b U+0024
oo	oː	-nyooka	Swahili	1	U+006f U+006f
^sw	s w	-swaga	Swahili	1	U+005e U+0073 U+0077
^mh	m h	mhimili	Swahili	1	U+005e U+006d U+0068
ng	ᵑɡ				
^ng	ᵑɡ				
ny	ɲ				
^ny	ɲ				
^mv	ᶬv				
mv	ᶬv				
nd	ⁿd				
^nd	ⁿd				
nj	ⁿdʒ				
^nj	ⁿdʒ				
mb	ᵐb				
^mb	ᵐb				
nz	ⁿz				
^nz	ⁿz				
