Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
ii	iː	siis, siisto	Ket	6	U+0069 U+0069
^ū	ū/u	ūl, ūɣan	Ket	6	U+005e U+016b
^iˀ	iˀ	iˀl, iˀs	Ket	6	U+005e U+0069 U+02c0
^ə̄	ə̄/ə	ə̄t, ə̄k	Ket	5	U+005e U+0259 U+0304
ʁ$	ʁ	dàʁ, lə̄ʁ	Ket	5	U+0281 U+0024
^ē	ē/e	ēɣ suul, ēt	Ket	5	U+005e U+0113
h	h	iŋɢust hāt, āmd hɯ̄j	Ket	5	U+0068
^ō	ō/o	ōks, ōp	Ket	5	U+005e U+014d
ŋs$	ŋ + s	handaŋs, qoreŋs	Ket	5	U+014b U+0073 U+0024
ɢ	ɢ	iŋɢus, tosa tɯjiŋɢat	Ket	5	U+0262
^à	à/a	àq, àr	Ket	4	U+005e U+00e0
bb	bː	qibbat, qibbamaŋ	Ket	4	U+0062 U+0062
ù	ù/u	sùl, qùj	Ket	4	U+00f9
ū$	ū/u	bū, tū	Ket	4	U+016b U+0024
ll	lː	halloj, allel	Ket	4	U+006c U+006c
è	è/e	dèr, sèl	Ket	4	U+00e8
^ēs$	ē/e s	ēs	Ket	4	U+005e U+0113 U+0073 U+0024
ɯ̄$	ɯ̄/ɯ	qɯ̄, kɯ̄	Ket	4	U+026f U+0304 U+0024
^ī	ī/i	īm, īn	Ket	4	U+005e U+012b
oo	oː	qoos, qooj	Ket	4	U+006f U+006f
^ā	ā/a	āmd hɯ̄j, āt	Ket	4	U+005e U+0101
g$	g	krug, ig	Ket	3	U+0067 U+0024
th	t + h	kitathāj, kitathaj	Ket	3	U+0074 U+0068
ɯ̀	ɯ̀/ɯ	qɯ̀r, hɯ̀s	Ket	3	U+026f U+0300
^ɯ̀	ɯ̀/ɯ	ɯ̀s, ɯ̀n	Ket	3	U+005e U+026f U+0300
qs$	q + s	sijaqs, daqs	Ket	3	U+0071 U+0073 U+0024
əə	əː	səət, təəl	Ket	3	U+0259 U+0259
^əə	əː	əəntet, əət	Ket	3	U+005e U+0259 U+0259
dd	dː	uddiŋ, uddiŋs	Ket	3	U+0064 U+0064
^aa	aː	aal, aaŋ	Ket	3	U+005e U+0061 U+0061
^eˀ	eˀ	eˀp, eˀk	Ket	3	U+005e U+0065 U+02c0
.	_	tam...tam	Ket	3	U+002e
^ɯɯ	ɯː	ɯɯltə, ɯɯt	Ket	3	U+005e U+026f U+026f
ns$	n + s	kəns, usens	Ket	3	U+006e U+0073 U+0024
ls	l s	həlsej, əəlsin	Ket	3	U+006c U+0073
ī$	ī/i	nī, kī	Ket	3	U+012b U+0024
^əˀ	əˀ	əˀl, əˀk	Ket	3	U+005e U+0259 U+02c0
č$	tʃ	kanča, očkaŋ	Ket	3	U+010d
^iˀ$	iˀ	iˀ	Ket	3	U+005e U+0069 U+02c0 U+0024
eˀ$	eˀ	deˀ, taɣəm eˀ	Ket	3	U+0065 U+02c0 U+0024
i$	i	qogdi, ili	Ket	2	U+0069 U+0024
ìs$	ì/i s	dìs	Ket	2	U+00ec U+0073 U+0024
^oˀ	oˀ	oˀn	Ket	2	U+005e U+006f U+02c0
^ii$	iː	ii	Ket	2	U+005e U+0069 U+0069 U+0024
uˀ$	uˀ	duˀ, kuˀ	Ket	2	U+0075 U+02c0 U+0024
òs	ò/o s	qòs keˀt	Ket	2	U+00f2 U+0073
^oo	oː	oolɢat, ooŋ	Ket	2	U+005e U+006f U+006f
ii$	iː	tii, bii	Ket	2	U+0069 U+0069 U+0024
ōs$	ō/o s	lōs	Ket	2	U+014d U+0073 U+0024
ə̀	ə̀/ə	bə̀ɣ, də̀j	Ket	2	U+0259 U+0300
ə$	ə	ogə, ɯɯltə	Ket	2	U+0259 U+0024
ŋŋ	ŋː	eŋŋuŋbers, eŋŋuŋ	Ket	2	U+014b U+014b
š	ʃ	peršep	Ket	2	U+0161
^īs$	ī/i s	īs	Ket	2	U+005e U+012b U+0073 U+0024
ēs$	ē/e s	dēs, sēs	Ket	2	U+0113 U+0073 U+0024
^ə̀	ə̀/ə	ə̀ɣ	Ket	2	U+005e U+0259 U+0300
qs	q s	eqsaq	Ket	2	U+0071 U+0073
^uu$	uː	uu	Ket	2	U+005e U+0075 U+0075 U+0024
pp	pː	oppas, hɯppas	Ket	2	U+0070 U+0070
mm	mː	ammas	Ket	1	U+006d U+006d
ps	p s	opsa	Ket	1	U+0070 U+0073
^š	ʃ	škola	Ket	1	U+005e U+0161
rs$	r + s	eŋŋuŋbers	Ket	1	U+0072 U+0073 U+0024
ās$	ā/a s	hās	Ket	1	U+0101 U+0073 U+0024
^uu	uː	uul	Ket	1	U+005e U+0075 U+0075
^ɯˀ	ɯˀ	ɯˀk	Ket	1	U+005e U+026f U+02c0
ɯtkij~ətkij	ɯ t k I j_ə t k I j	ɯtkij~ətkij	Ket	1	U+026f U+0074 U+006b U+0069 U+006a U+007e U+0259 U+0074 U+006b U+0069 U+006a
^ùs$	ù/u s	ùs	Ket	1	U+005e U+00f9 U+0073 U+0024
^č	tʃ	časaŋ	Ket	1	U+005e U+010d
^eˀ$	eˀ	eˀ	Ket	1	U+005e U+0065 U+02c0 U+0024
^a$	a	a	Ket	1	U+005e U+0061 U+0024
oˀ$	oˀ	qoˀ	Ket	1	U+006f U+02c0 U+0024
ʌ	ʌ	uldʌptaŋbaŋ	Ket	1	U+028c
^ee	eː	eeboks	Ket	1	U+005e U+0065 U+0065
kss	k sː	qonokssajdo	Ket	1	U+006b U+0073 U+0073
^ɯ̄	ɯ̄/ɯ	ɯ̄ks	Ket	1	U+005e U+026f U+0304
qq	qː	aqqot	Ket	1	U+0071 U+0071
^às$	à/a s	às	Ket	1	U+005e U+00e0 U+0073 U+0024
^ù	ù/u	ùt	Ket	1	U+005e U+00f9
rh	r h	parhot	Ket	1	U+0072 U+0068
^ē$	ē/e	ē	Ket	1	U+005e U+0113 U+0024
