Grapheme	IPA	LANGUAGES
!$	NULL	plat1254
$	NULL	arch1244, bezh1248, cent2050, chew1245, gali1262, gaww1239, guri1247, haus1257, haus1257, hawa1245, hmon1333, hupd1244, imba1240, indo1316, iraq1241, kekc1242, kett1243, kild1236, lowe1385, mana1288, mand1415, mapu1245, mezq1235, nucl1643, oldh1241, oroq1238, plat1254, roma1327, sara1340, sese1246, swah1253, taki1248, tari1263, thai1261, tzot1259, viet1252, west2376, wich1264, yaku1245, yaqu1251
'	ʔ	kekc1242, mezq1235, tzot1259
'$	ʔ	iraq1241, tzot1259
'_	NULL	mezq1235, tzot1259
'a	ʔ a	indo1316, iraq1241
'a$	ʔ a	gali1262, iraq1241
'b	ˀb	mezq1235
'ch	ˀc	mezq1235
'e	ʔ e	gali1262, iraq1241
'e$	ʔ e	gali1262
'i	ʔ i	iraq1241
'i$	ʔ I	gali1262
'i$	ʔ i	iraq1241
'k	ʔ k	gali1262
'kw	ˀkʷ	mezq1235
'm	ʔ m	gali1262
'm	ˀm	mezq1235
'n	ʔ n	gali1262, iraq1241
'n	ˀn	mezq1235
'o	ʔ o	iraq1241
'o$	ʔ o	iraq1241
'p	ʔ p	gali1262
'r	ˀr	mezq1235
't	ʔ t	gali1262
'u	ʔ u	gali1262, iraq1241
'u$	'u/u	mezq1235
'w	ˀw	mezq1235
'x	ˀx	mezq1235
'y	ˀj	mezq1235
'à	ʔ à/a	haus1257
'à$	'à/a	cent2050
'á	'á/a	cent2050
'á	ʔ á/a	haus1257, iraq1241
'ä$	ʔ ɐ	mezq1235
'ì	ʔ ì/i	haus1257
'í	ʔ í/i	iraq1241
'î	ʔ î/i	haus1257
'ñ	ˀɲ	mezq1235
(	NULL	gaww1239, plat1254
(ʔille) paah	ʔ i l l e _ p a a h	gaww1239
(ʕanɗe) ʔí=t’aarama	ʕ a n ɗ e _ ʔ í + t’ a a r a m a	gaww1239
)	NULL	gaww1239, plat1254
*$	NULL	mand1415
-		hupd1244
-	+	arch1244, bezh1248, cent2050, gali1262, gaww1239, guri1247, haus1257, hmon1333, imba1240, indo1316, iraq1241, kekc1242, kett1243, kild1236, lowe1385, mana1288, mand1415, mapu1245, mezq1235, nucl1643, oroq1238, plat1254, roma1327, sese1246, swah1253, taki1248, tari1263, thai1261, tzot1259, west2376, yaku1245, yaqu1251
-CL	NULL	mand1415
.	NULL	cent2050, gali1262, kekc1242, mand1415, plat1254, tari1263, yaku1245
.	_	guri1247, kett1243, tzot1259
1	NULL	gaww1239, mana1288, mand1415
1$	NULL	mand1415
2	NULL	gaww1239, mana1288, mand1415
2$	NULL	mand1415
3	NULL	mana1288, mand1415
3$	NULL	mand1415
4	NULL	mana1288, mand1415
4$	NULL	mand1415
5$	NULL	mand1415
7	ʔ	tzot1259
7$	ʔ	tzot1259
9$	NULL	thai1261
<	NULL	arch1244
=	+	gaww1239, mana1288, mana1288, taki1248, tari1263
>	NULL	arch1244
?	NULL	mapu1245
?	ʔ	thai1261
?$	NULL	lowe1385, mezq1235
?$	ʔ	tari1263
A	A/a	indo1316
B	B/b	taki1248
CL	NULL	mand1415
Err:509	+ i m	gaww1239
F	NULL	gaww1239
H	H/h	viet1252
I$	i	indo1316
Jw	J/x w	mezq1235
M	M/m	indo1316
M	NULL	gaww1239
N	N/n	plat1254
S	S/ʂ	hmon1333
Tsw	Ts/tʃ ɯ	hmon1333
V	V/v	hmon1333
VCL	NULL	mand1415
X	<?>	mand1415
X	NULL	mand1415
^	NULL	arch1244, bezh1248, cent2050, chew1245, gali1262, gaww1239, guri1247, haus1257, hawa1245, hmon1333, hupd1244, imba1240, indo1316, iraq1241, kekc1242, kett1243, kild1236, lowe1385, mana1288, mand1415, mapu1245, mezq1235, nucl1643, oldh1241, oroq1238, plat1254, roma1327, sara1340, sese1246, swah1253, taki1248, tari1263, thai1261, tzot1259, viet1252, west2376, wich1264, yaku1245, yaqu1251
^'b	ˀb	mezq1235
^'m	ˀm	mezq1235
^'n	ˀn	mezq1235
^'r	ˀr	mezq1235
^'w	ˀw	mezq1235
^'y	ʔʲ	haus1257
^'y	ˀj	mezq1235
^'ñ	ˀɲ	mezq1235
^(be) silent$	s aɪ l ə n t	English
^(finger)nail$	n eɪ l	English
^(good) luck$	l ʌ k	English
^(sea)gull$	ɡ ʌ l	English
^(sting)ray$	r eɪ	English
^(tree-)stump$	s t ʌ m p	English
^-A	+ A/a	yaku1245
^-a$	+ a	cent2050
^-fffu$	+ fː u	taki1248
^-ngka	+ n g k a	guri1247
^-‘bya$	+ ˀb j a	mezq1235
^1	NULL	mana1288
^1$	NULL	mand1415
^2	NULL	mana1288
^3	NULL	mana1288, mand1415
^3$	NULL	mand1415
^4	NULL	mana1288, mand1415
^7	ʔ	tzot1259
^=	+	gaww1239, kild1236, mana1288, taki1248, tari1263
^=s	+ s	gaww1239
^?	ʔ	thai1261
^A	A/a	bezh1248, haus1257, swah1253
^B	B/b	bezh1248
^B	B/ɓ	swah1253
^Friday$	f r aɪ d ɪ	English
^H	H/h	hawa1245, swah1253
^I	I/i	swah1253
^I$	aɪ	English
^J	J/dʒ	haus1257, indo1316, swah1253
^K	K/k	hawa1245, indo1316, sese1246
^L	L/l	haus1257, hawa1245
^M	M/m	hawa1245, sese1246, swah1253
^Monday$	m ʌ n d ɪ	English
^N	N/n	hawa1245
^P	P/p	hawa1245
^PSK$	p eː s k a	indo1316
^R	R/r	indo1316
^S	S/s	indo1316
^SIM$	s i m	indo1316
^Saturday$	s æ t ə d ɪ	English
